id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology
1,R1,2921,66,13,331,-4
2,R2,2777,239,35,150,68
3,R3,2974,193,17,631,72
4,R4,3024,214,11,708,118
5,R5,3053,338,10,446,31
6,R6,2739,39,20,234,74
7,R7,3033,119,27,201,65
8,R8,2732,84,19,120,42
9,R9,2191,83,17,390,70
10,R10,2380,340,27,446,183
11,R11,3214,207,8,646,0
12,R12,2997,340,17,339,42
13,R13,3074,24,25,450,48
14,R14,2744,346,19,134,34
15,R15,2891,249,19,446,95
16,R16,2965,265,10,534,69
17,R17,3264,127,10,150,0
18,R18,3014,65,15,67,10
19,R19,2193,66,18,0,0
20,R20,2884,216,14,450,84
21,R21,3067,308,27,192,24
22,R22,2962,85,9,127,13
23,R23,3082,57,13,256,13
24,R24,3451,70,10,824,88
25,R25,3112,53,7,216,19
26,R26,2696,8,7,283,28
27,R27,2808,321,25,551,53
28,R28,2654,112,27,60,21
29,R29,2512,331,20,127,55
30,R30,3248,252,10,663,138
31,R31,2949,12,10,792,151
32,R32,3292,274,26,60,22
33,R33,2886,223,23,300,105
34,R34,2836,318,27,342,120
35,R35,3276,243,12,680,154
36,R36,3165,335,5,30,4
37,R37,3038,132,12,95,12
38,R38,2937,143,2,0,0
39,R39,3001,75,13,95,5
40,R40,2891,66,13,0,0
41,R41,2822,62,4,0,0
42,R42,2496,32,23,150,-22
43,R43,3021,283,31,630,372
44,R44,3154,148,14,272,39
45,R45,2942,90,14,300,48
46,R46,3341,129,21,503,179
47,R47,2843,322,19,120,45
48,R48,3393,49,10,201,44
49,R49,3182,0,9,424,40
50,R50,3113,133,17,90,-5
51,R51,2977,111,8,42,3
52,R52,2527,137,9,85,10
53,R53,3091,54,12,256,36
54,R54,2836,273,28,95,39
55,R55,3348,294,8,552,80
56,R56,2914,358,17,30,0
57,R57,3117,318,13,362,1
58,R58,3173,92,6,120,-6
59,R59,3146,94,3,30,-1
60,R60,2763,59,16,210,105
61,R61,3143,74,15,234,29
62,R62,3141,69,18,391,79
63,R63,3005,35,15,390,60
64,R64,3155,274,9,540,114
65,R65,2669,319,13,30,13
