id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology
1,R1,2304,37,12,339,33
2,R2,2974,90,9,95,14
3,R3,3114,170,7,150,11
4,R4,2397,328,38,283,168
5,R5,2991,274,18,330,88
6,R6,3169,48,18,85,-4
7,R7,2970,334,9,108,15
8,R8,2926,167,8,108,10
9,R9,3012,297,8,366,-22
10,R10,2691,214,29,134,48
11,R11,3456,130,15,67,7
12,R12,2939,37,7,242,10
13,R13,2864,45,21,240,90
14,R14,3033,19,20,234,109
15,R15,3021,38,16,162,13
16,R16,2238,359,34,42,13
17,R17,2793,72,8,301,26
18,R18,2941,32,4,192,18
19,R19,3126,223,29,150,35
20,R20,2925,185,11,0,0
21,R21,2864,118,15,361,61
22,R22,2752,72,11,379,35
23,R23,2732,21,17,484,75
24,R24,2947,113,36,450,120
25,R25,3086,344,9,0,0
26,R26,3021,103,8,30,3
27,R27,2896,287,10,437,98
28,R28,3080,120,20,175,65
29,R29,2126,352,24,30,8
30,R30,2978,11,6,272,13
31,R31,2867,293,6,30,0
32,R32,3181,291,21,210,73
33,R33,3115,47,9,124,7
34,R34,3001,62,18,150,33
35,R35,3286,300,12,424,11
36,R36,3351,198,24,297,65
37,R37,3005,40,16,849,110
38,R38,2956,72,7,60,2
39,R39,3063,305,6,60,7
40,R40,2765,23,4,0,0
41,R41,2922,127,19,0,0
42,R42,2824,166,20,67,20
43,R43,3093,256,4,603,39
44,R44,2930,60,17,395,120
45,R45,3105,356,13,700,318
46,R46,3288,246,9,390,97
47,R47,3072,288,17,277,67
48,R48,2725,169,29,240,108
49,R49,3073,180,6,552,75
50,R50,2338,318,22,162,50
51,R51,3004,341,14,577,83
52,R52,3319,167,15,306,54
53,R53,3034,178,5,30,-6
54,R54,2761,101,12,0,0
55,R55,3173,50,15,90,28
56,R56,3449,327,24,30,10
57,R57,3264,39,6,787,116
58,R58,3163,214,17,384,80
59,R59,2978,73,7,0,0
60,R60,3126,212,19,170,62
61,R61,2985,8,2,342,44
62,R62,2813,120,33,127,69
63,R63,2670,343,27,30,11
64,R64,2994,157,6,240,42
65,R65,2318,64,27,277,138
66,R66,2439,68,27,127,55
67,R67,3169,271,15,661,25
68,R68,2537,344,12,466,50
69,R69,3154,246,37,120,21
70,R70,2910,279,7,201,32
71,R71,2811,92,8,0,0
72,R72,2769,9,18,218,34
73,R73,2617,301,7,0,0
74,R74,2973,229,10,218,92
75,R75,2962,225,1,408,2
76,R76,2930,335,21,67,25
77,R77,2707,304,25,30,15
78,R78,3292,350,18,339,100
79,R79,3353,90,16,67,13
80,R80,3250,329,20,134,23
81,R81,2646,354,18,446,105
82,R82,2834,248,23,42,13
83,R83,3102,6,2,330,17
84,R84,3323,359,12,430,44
85,R85,2108,51,30,127,55
86,R86,2962,98,15,426,-60
87,R87,2968,10,4,30,0
88,R88,3008,101,13,150,17
89,R89,2995,198,30,234,95
90,R90,2913,75,3,0,0
91,R91,3343,295,13,484,104
92,R92,2998,87,5,541,72
93,R93,2790,61,17,124,32
94,R94,2942,69,3,120,13
95,R95,2929,34,17,90,10
96,R96,3235,44,13,720,91
97,R97,2769,56,22,576,-24
98,R98,2841,0,5,0,0
99,R99,2724,276,42,180,86
100,R100,3228,62,15,42,8
101,R101,3087,338,25,408,-20
102,R102,2975,219,10,443,66
103,R103,2640,104,6,0,0
104,R104,2605,115,11,150,24
105,R105,2992,24,17,618,18
106,R106,2944,331,15,633,67
107,R107,2694,80,24,95,47
108,R108,3299,63,2,108,1
109,R109,2854,32,12,234,35
110,R110,2885,48,13,430,94
111,R111,2961,31,11,210,29
112,R112,3231,5,10,752,213
113,R113,3023,68,10,228,33
114,R114,3246,358,6,362,9
115,R115,3174,323,12,175,32
116,R116,2991,28,8,484,19
117,R117,3251,244,15,721,157
118,R118,2780,70,13,524,-20
119,R119,3028,340,20,582,253
120,R120,2919,304,10,90,12
121,R121,2761,316,13,30,4
122,R122,2930,18,27,150,71
123,R123,2896,289,19,150,46
124,R124,2976,285,26,180,47
125,R125,2994,334,24,481,74
126,R126,3052,286,15,124,23
127,R127,3165,206,6,95,3
128,R128,3175,249,24,150,49
129,R129,2761,182,23,297,95
130,R130,2298,286,23,85,34
