id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology
1,R1,2882,121,13,162,31
2,R2,2982,329,17,553,66
3,R3,2793,278,5,85,16
4,R4,3398,121,12,85,-5
5,R5,2971,61,34,277,104
6,R6,3026,317,34,543,95
7,R7,2972,67,12,124,13
8,R8,3019,85,22,218,-63
9,R9,1964,336,43,30,34
10,R10,2616,255,13,421,141
11,R11,3195,278,9,180,-23
12,R12,2727,24,15,0,0
13,R13,2835,260,15,60,23
14,R14,2967,32,24,124,37
15,R15,2987,257,13,30,5
16,R16,3008,94,15,0,0
17,R17,2696,139,14,175,16
18,R18,2816,79,14,30,7
19,R19,3323,85,24,693,136
20,R20,2860,117,11,212,33
21,R21,2922,345,31,95,41
22,R22,2259,81,24,30,14
23,R23,2268,14,9,30,0
24,R24,2581,54,16,192,71
25,R25,3270,77,17,201,41
26,R26,3054,308,13,0,0
27,R27,3382,351,28,256,89
28,R28,2799,302,15,67,14
29,R29,3029,260,13,180,-5
30,R30,2728,120,11,300,17
31,R31,2642,273,5,272,2
32,R32,3036,59,11,0,0
33,R33,3155,2,23,323,62
34,R34,3064,189,12,366,55
35,R35,2538,72,17,242,6
36,R36,2559,117,3,510,13
37,R37,2903,112,15,85,13
38,R38,3101,20,10,361,8
39,R39,2970,169,1,0,0
40,R40,3054,24,6,242,50
41,R41,3036,90,3,421,126
42,R42,2989,345,21,150,59
43,R43,3032,14,11,417,64
44,R44,2778,11,2,0,0
45,R45,2793,132,24,360,127
46,R46,3230,26,25,492,168
47,R47,2826,63,16,0,0
48,R48,2670,99,17,295,84
49,R49,2987,346,19,228,77
50,R50,3018,88,17,0,0
51,R51,3122,26,7,192,14
52,R52,3019,31,16,297,89
53,R53,2804,173,23,30,-18
54,R54,3377,125,19,190,48
55,R55,2928,105,7,234,3
56,R56,2900,285,8,342,-75
57,R57,3292,11,4,524,108
58,R58,3013,265,8,342,-21
59,R59,2728,121,15,67,-11
60,R60,2758,207,5,268,17
61,R61,3078,291,12,30,12
62,R62,2859,32,8,216,15
63,R63,2607,73,13,258,44
64,R64,2998,119,9,0,0
65,R65,3054,123,16,127,20
66,R66,2624,107,24,108,32
67,R67,2742,82,8,450,55
68,R68,3019,354,2,60,3
69,R69,2933,77,9,67,5
70,R70,3082,41,21,661,22
71,R71,3021,99,11,127,17
72,R72,3010,297,15,95,15
73,R73,3060,348,23,242,19
74,R74,2792,254,28,95,31
75,R75,2954,142,13,162,-19
76,R76,3070,72,5,60,1
77,R77,3175,13,11,474,-9
78,R78,2744,130,11,0,0
79,R79,3280,151,2,67,1
80,R80,3052,135,4,108,6
81,R81,3100,79,9,0,0
82,R82,3121,77,23,421,202
83,R83,2919,81,13,67,3
84,R84,3167,39,28,192,9
85,R85,2866,38,8,150,26
86,R86,3277,180,2,216,50
87,R87,2714,54,11,255,7
88,R88,2932,147,13,150,30
89,R89,2808,148,15,120,-5
90,R90,2913,347,12,234,118
91,R91,2579,0,11,210,73
92,R92,2944,48,11,390,75
93,R93,2946,137,12,30,-3
94,R94,3238,67,7,150,-11
95,R95,3091,26,8,60,0
96,R96,2765,341,12,362,118
97,R97,3009,73,13,120,29
98,R98,2940,137,11,300,85
99,R99,3165,25,9,175,23
100,R100,3249,101,14,402,22
101,R101,2985,96,10,470,43
102,R102,3063,209,2,0,0
103,R103,3412,238,10,708,144
104,R104,2584,330,19,42,10
105,R105,3057,27,7,309,3
106,R106,3214,45,7,553,13
107,R107,3050,232,34,691,-40
108,R108,2836,60,18,85,-4
109,R109,2958,132,14,379,24
110,R110,2939,88,8,201,35
111,R111,3317,86,31,42,15
112,R112,2964,117,7,85,18
113,R113,2965,85,17,319,89
114,R114,2726,48,14,446,38
115,R115,3349,331,15,537,150
116,R116,2782,293,29,306,134
117,R117,3622,356,18,297,99
118,R118,2432,154,15,0,0
119,R119,3062,70,29,190,29
120,R120,3371,192,13,641,165
121,R121,3589,331,15,228,95
122,R122,2550,182,20,85,23
123,R123,3012,36,4,295,36
124,R124,3064,59,8,319,0
125,R125,3249,97,25,330,121
126,R126,3241,316,13,120,15
127,R127,2889,72,20,390,115
128,R128,3073,205,4,541,206
129,R129,2981,178,16,446,59
130,R130,3116,37,17,787,200
131,R131,3333,82,16,216,-15
132,R132,3181,0,6,366,45
133,R133,3200,5,28,240,119
134,R134,2246,312,30,182,95
135,R135,2585,356,27,42,18
136,R136,3156,229,16,153,19
137,R137,3001,56,11,150,26
138,R138,3106,90,18,150,56
139,R139,2610,357,16,525,230
140,R140,2755,28,29,242,125
141,R141,3041,331,15,0,0
142,R142,2766,294,16,30,7
143,R143,3284,325,17,216,37
144,R144,3308,201,15,382,0
145,R145,2616,133,13,30,-6
146,R146,3289,178,7,1018,134
147,R147,3066,45,12,721,78
148,R148,2719,158,11,175,-28
149,R149,3011,61,18,60,24
150,R150,2324,327,12,360,105
151,R151,3071,98,7,124,-10
152,R152,2779,131,16,0,0
153,R153,2084,113,14,0,0
154,R154,3066,197,6,90,-8
155,R155,2753,30,10,201,-3
156,R156,2911,252,16,323,130
157,R157,3249,89,31,255,79
158,R158,2952,132,18,90,10
159,R159,3151,111,18,420,76
160,R160,3113,165,13,30,4
161,R161,3241,127,25,272,-80
162,R162,3063,181,11,277,-29
163,R163,3267,185,20,67,10
164,R164,3125,298,10,566,88
165,R165,3324,313,12,576,77
166,R166,3282,22,17,679,181
167,R167,3060,306,10,190,31
168,R168,2865,231,26,323,175
169,R169,2405,321,21,170,37
170,R170,2386,155,13,0,0
171,R171,3081,106,7,216,37
172,R172,2426,55,25,150,67
173,R173,3272,335,9,459,112
174,R174,3315,155,10,553,127
175,R175,2847,166,35,30,-7
176,R176,2908,316,16,85,-2
177,R177,3230,109,18,210,36
178,R178,3046,29,6,60,3
