id,label,Elevation,Aspect,Slope
1,R1,2647,208,6
2,R2,3240,61,21
3,R3,2373,125,19
4,R4,2772,45,1
5,R5,3092,10,17
6,R6,3216,133,12
7,R7,3763,10,21
8,R8,2970,295,8
9,R9,2851,24,17
10,R10,2839,318,14
11,R11,3221,90,16
12,R12,3170,10,13
13,R13,2929,42,13
14,R14,3210,147,7
15,R15,2473,294,11
16,R16,3409,96,15
17,R17,2746,143,14
18,R18,3154,324,8
19,R19,2936,68,15
20,R20,2526,119,12
21,R21,2829,147,5
22,R22,2764,26,11
23,R23,3148,359,9
24,R24,2916,31,19
25,R25,3016,250,24
26,R26,2526,351,16
27,R27,2860,79,16
28,R28,2827,96,36
29,R29,3313,128,6
30,R30,2891,162,12
31,R31,2855,70,10
32,R32,3180,292,25
33,R33,2701,28,21
34,R34,2953,139,5
35,R35,3180,293,19
36,R36,2900,46,16
37,R37,2826,53,17
38,R38,3030,52,17
39,R39,3240,346,9
40,R40,2844,50,11
41,R41,3375,227,31
42,R42,3159,311,5
43,R43,3237,345,21
44,R44,2808,78,18
45,R45,2932,97,12
46,R46,3349,52,24
47,R47,2511,54,8
48,R48,2921,317,8
49,R49,2754,113,5
50,R50,3349,2,18
51,R51,3034,252,2
52,R52,3085,68,8
53,R53,3003,100,16
54,R54,3115,273,20
55,R55,2972,59,6
56,R56,2695,41,19
57,R57,2932,225,11
58,R58,2717,135,11
59,R59,2668,129,19
60,R60,2894,335,27
61,R61,3127,237,14
62,R62,2920,3,17
63,R63,3283,329,17
64,R64,2872,58,13
65,R65,3208,23,8
66,R66,2962,3,16
67,R67,3198,79,2
68,R68,2960,80,19
69,R69,2697,197,8
70,R70,2955,162,8
71,R71,3164,54,6
72,R72,3081,271,26
73,R73,2949,231,21
74,R74,3237,300,22
75,R75,3020,41,10
76,R76,3061,8,18
77,R77,2296,4,21
78,R78,3101,77,13
79,R79,3259,10,11
80,R80,2895,35,16
81,R81,3222,152,13
82,R82,3253,1,27
83,R83,2918,34,3
84,R84,2368,330,30
85,R85,2619,306,4
86,R86,3264,301,14
87,R87,2888,280,11
88,R88,3213,236,7
89,R89,2112,237,23
90,R90,2513,72,6
91,R91,2578,353,13
92,R92,2835,38,5
93,R93,3219,128,11
94,R94,2924,8,12
95,R95,2943,169,1
96,R96,2907,204,20
97,R97,3065,128,9
98,R98,3192,233,21
99,R99,2818,97,6
100,R100,2285,114,22
101,R101,3374,122,11
102,R102,2471,310,15
103,R103,2633,107,7
104,R104,3311,337,13
105,R105,2398,316,30
106,R106,2976,86,18
107,R107,2690,130,14
108,R108,3507,24,10
109,R109,2727,41,10
110,R110,2697,145,4
111,R111,3390,89,18
112,R112,2732,271,12
113,R113,2876,219,13
114,R114,2966,271,19
115,R115,3061,0,6
116,R116,3197,322,8
117,R117,2665,324,18
118,R118,2831,138,22
119,R119,2959,43,9
120,R120,3252,167,14
121,R121,2984,18,19
122,R122,2933,13,9
123,R123,3049,47,23
124,R124,2954,117,7
125,R125,2995,225,13
126,R126,2623,92,11
127,R127,2879,82,22
128,R128,3231,133,16
129,R129,2507,252,6
130,R130,3270,0,0
131,R131,3199,355,9
132,R132,3187,297,5
133,R133,2850,31,22
134,R134,3288,151,5
135,R135,2888,61,8
136,R136,3027,18,10
137,R137,3285,308,8
138,R138,2945,251,27
139,R139,2794,96,6
140,R140,3047,264,10
141,R141,2835,144,26
142,R142,3069,73,11
143,R143,2736,85,5
144,R144,3206,9,13
145,R145,3150,59,11
146,R146,3036,63,5
147,R147,2769,328,26
148,R148,3097,120,10
149,R149,2604,163,6
150,R150,2861,273,10
151,R151,2876,171,29
152,R152,3220,273,4
153,R153,2720,184,15
154,R154,2956,317,11
155,R155,2946,160,22
156,R156,2397,145,8
157,R157,3305,292,11
158,R158,3101,0,4
159,R159,2115,277,36
160,R160,3248,126,6
161,R161,2881,36,13
162,R162,3034,45,18
163,R163,2947,261,32
164,R164,2922,324,13
165,R165,2657,24,24
166,R166,2855,307,15
167,R167,3127,91,14
168,R168,2882,69,9
169,R169,3144,18,3
170,R170,3202,33,23
171,R171,3263,102,13
172,R172,3014,119,6
173,R173,3038,235,15
174,R174,2651,117,16
175,R175,3126,117,8
176,R176,3100,139,9
177,R177,3260,229,16
178,R178,3188,101,8
179,R179,2778,89,12
180,R180,2583,126,4
181,R181,3241,106,12
182,R182,2486,315,19
183,R183,2922,18,17
184,R184,3042,58,7
185,R185,2955,201,15
186,R186,2937,99,20
187,R187,2906,45,19
188,R188,3138,333,8
189,R189,2945,25,21
190,R190,2560,156,9
191,R191,2920,160,13
192,R192,3156,195,31
193,R193,2905,124,2
194,R194,2672,101,2
195,R195,2684,58,12
196,R196,2765,224,26
197,R197,3230,332,15
198,R198,3017,233,19
199,R199,3135,305,13
200,R200,2724,29,12
201,R201,3109,61,17
202,R202,2797,32,26
203,R203,2382,294,19
204,R204,3390,298,14
205,R205,2789,49,16
206,R206,2875,321,34
207,R207,2998,142,3
208,R208,3018,127,14
209,R209,2998,17,6
210,R210,3203,73,11
211,R211,2633,12,13
212,R212,2967,236,34
213,R213,2722,100,9
214,R214,2969,95,17
215,R215,3243,63,8
216,R216,3123,86,10
217,R217,2644,42,7
218,R218,2645,148,6
219,R219,2758,348,18
220,R220,2752,345,8
221,R221,3295,211,6
222,R222,2975,58,4
223,R223,3068,58,10
224,R224,2242,62,15
225,R225,3631,42,6
226,R226,3031,3,5
227,R227,2795,124,13
228,R228,2809,278,8
229,R229,2853,13,13
230,R230,2643,18,2
231,R231,3268,160,6
232,R232,2994,152,6
233,R233,3297,356,11
234,R234,2931,81,6
235,R235,2883,16,8
236,R236,2857,227,22
237,R237,3100,7,10
238,R238,3350,233,14
239,R239,2900,113,5
240,R240,2061,93,27
241,R241,3154,44,22
242,R242,3177,201,15
243,R243,3363,253,9
244,R244,3031,213,16
245,R245,3216,77,23
246,R246,2972,45,12
247,R247,3097,54,25
248,R248,2518,31,3
249,R249,2935,97,16
250,R250,2998,96,10
251,R251,2911,45,9
252,R252,3229,35,17
253,R253,2550,115,14
254,R254,3418,51,13
255,R255,2973,316,15
256,R256,2914,135,6
257,R257,3096,324,10
258,R258,2207,349,23
259,R259,3177,112,10
260,R260,2636,163,19
261,R261,3198,31,16
262,R262,3076,261,11
263,R263,2476,302,12
264,R264,3223,79,15
265,R265,3078,207,14
266,R266,3028,187,8
267,R267,3018,32,13
268,R268,3261,11,8
269,R269,3228,223,17
270,R270,3329,270,0
271,R271,3047,309,6
272,R272,2985,281,20
273,R273,3364,88,17
274,R274,2759,148,12
275,R275,3245,327,16
276,R276,3159,10,24
277,R277,2799,183,30
278,R278,2919,115,17
279,R279,3129,54,6
280,R280,3143,114,15
281,R281,2561,156,10
282,R282,3117,208,5
283,R283,2719,197,6
284,R284,2151,358,38
285,R285,2810,125,16
286,R286,2985,303,17
287,R287,3269,354,9
288,R288,3038,35,15
289,R289,2703,53,7
290,R290,3135,69,15
291,R291,3025,74,7
292,R292,2723,76,9
293,R293,3270,143,7
294,R294,2500,318,15
295,R295,3212,30,18
296,R296,3341,47,17
297,R297,2483,185,29
298,R298,3219,166,15
299,R299,2539,276,30
300,R300,3201,23,12
301,R301,3002,28,11
302,R302,2844,357,13
303,R303,2758,47,24
304,R304,3128,86,12
305,R305,2833,151,9
306,R306,3113,158,17
307,R307,3162,329,6
308,R308,2988,352,13
309,R309,2775,39,6
310,R310,2768,23,14
311,R311,2839,8,5
312,R312,3154,119,17
313,R313,3117,114,23
314,R314,3384,102,15
315,R315,2976,317,15
316,R316,2792,69,3
317,R317,2535,306,2
318,R318,3022,18,3
319,R319,2712,128,5
320,R320,2968,96,10
321,R321,2866,354,18
322,R322,2857,159,7
323,R323,3052,327,11
324,R324,2498,47,30
325,R325,2975,244,22
326,R326,2867,162,26
327,R327,3062,212,12
328,R328,3248,291,14
329,R329,3216,225,11
330,R330,2884,141,15
331,R331,2788,29,10
332,R332,2644,305,30
333,R333,3282,11,2
334,R334,3023,315,11
335,R335,2379,41,14
336,R336,3295,118,19
337,R337,2785,51,6
338,R338,2941,207,33
339,R339,2997,3,17
340,R340,2929,69,8
341,R341,2913,24,6
342,R342,3226,19,9
343,R343,2926,170,14
344,R344,3171,49,22
345,R345,2519,97,20
346,R346,3014,50,4
347,R347,3221,303,13
348,R348,2460,64,26
349,R349,3280,105,24
