id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am
1,R1,3049,316,17,437,-71,1986,172
2,R2,3014,140,15,210,34,1207,241
3,R3,2890,38,3,295,12,3760,219
4,R4,3225,262,15,212,33,3013,181
5,R5,2609,88,8,120,5,1575,233
6,R6,3055,264,21,541,81,6036,162
7,R7,3280,90,24,750,99,1676,248
8,R8,2504,17,20,90,29,2042,199
9,R9,2830,209,23,153,41,4242,197
10,R10,3095,90,11,108,9,3589,237
11,R11,2738,48,6,150,25,2250,223
12,R12,3232,146,12,390,78,1366,236
13,R13,3216,68,5,120,-11,2889,225
14,R14,2590,62,11,120,-4,1050,230
15,R15,3067,119,12,390,-25,6765,241
16,R16,3314,78,16,579,80,1533,239
17,R17,3173,111,18,60,15,960,248
18,R18,3326,359,12,335,85,3015,202
19,R19,3149,326,23,242,4,3479,157
20,R20,2847,59,13,450,85,3463,230
21,R21,3162,33,11,573,135,3985,218
22,R22,3226,0,7,0,0,3624,210
23,R23,2529,136,14,228,92,592,241
24,R24,2637,93,8,0,0,1047,233
25,R25,2895,60,33,242,85,1170,225
26,R26,3130,47,19,180,26,2962,223
27,R27,2608,156,14,30,-9,3227,235
28,R28,2377,354,2,485,213,1431,215
29,R29,3077,291,16,67,12,3664,174
30,R30,2880,280,11,95,-3,1560,191
31,R31,2498,310,12,90,13,382,186
32,R32,2851,322,16,85,9,3185,178
33,R33,3008,347,21,216,32,3437,176
34,R34,2847,52,20,95,34,2335,226
35,R35,2658,30,17,60,11,1919,212
36,R36,2949,101,8,324,23,1781,235
37,R37,3171,44,18,124,22,417,221
38,R38,3028,42,7,283,112,1465,222
39,R39,3355,194,9,0,0,2164,219
40,R40,2793,32,6,150,8,1991,219
41,R41,3077,38,11,108,9,1536,220
42,R42,3146,131,5,124,10,4450,228
43,R43,2969,15,16,201,23,4747,203
44,R44,3089,324,13,182,60,598,186
45,R45,3150,300,32,150,88,816,116
46,R46,2612,46,15,457,92,1159,223
