id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am
1,R1,3000,53,27,283,111,2002,223
2,R2,1969,128,24,212,70,216,251
3,R3,3202,0,18,458,23,1527,190
4,R4,2790,155,22,150,62,3482,239
5,R5,3368,78,12,295,36,2603,235
6,R6,3049,94,18,180,37,3343,245
7,R7,2710,359,12,192,47,1176,202
8,R8,2979,297,1,418,3,5242,216
9,R9,2523,318,27,162,48,752,140
10,R10,3220,53,9,124,7,5756,226
11,R11,3088,108,15,860,278,865,245
12,R12,3022,291,8,300,-3,1855,197
13,R13,2651,110,10,0,0,1888,238
14,R14,3232,111,10,541,78,1342,237
15,R15,2791,56,5,268,6,3150,224
16,R16,2803,138,14,277,11,2271,241
17,R17,2624,74,4,30,0,1347,225
18,R18,3031,8,21,60,20,2607,190
19,R19,2779,155,13,124,26,3036,235
20,R20,3299,62,8,85,-7,2998,227
21,R21,2760,31,21,85,32,2397,210
22,R22,3354,76,21,624,188,1702,241
23,R23,3061,313,9,297,48,2495,196
24,R24,3185,140,7,67,0,2190,231
25,R25,2696,45,9,85,7,150,223
26,R26,2837,141,22,90,8,1554,246
27,R27,2703,245,4,170,25,1304,212
28,R28,2700,135,2,0,0,987,222
29,R29,2978,269,25,255,88,5202,147
30,R30,2935,330,15,510,58,525,183
31,R31,2959,216,8,270,83,2860,212
32,R32,3256,348,12,306,15,3057,197
33,R33,3175,288,18,732,90,3479,168
34,R34,3057,39,19,60,3,3582,217
35,R35,3014,214,7,684,105,5883,214
36,R36,3032,334,15,190,8,918,185
37,R37,3140,60,5,30,2,2331,224
38,R38,2679,28,26,162,55,726,200
39,R39,3264,45,8,85,-4,3733,223
40,R40,3004,176,12,120,-3,3765,226
41,R41,2755,108,5,175,24,2573,229
42,R42,3174,249,4,306,39,323,211
43,R43,3006,108,3,446,103,3316,225
44,R44,2930,72,15,339,0,679,236
45,R45,2865,222,11,924,185,2310,206
46,R46,3399,162,21,175,-1,2942,235
47,R47,3123,322,8,175,16,5473,199
48,R48,2611,215,15,124,42,1382,205
49,R49,3367,97,6,216,50,3860,229
50,R50,2972,342,10,124,-8,3743,200
51,R51,2585,63,4,175,8,646,224
52,R52,2879,106,14,153,33,1239,243
53,R53,2955,97,11,360,61,4492,239
54,R54,2537,344,10,30,1,1320,201
55,R55,2729,8,7,553,-28,1401,212
56,R56,3010,159,6,552,-10,1638,226
57,R57,2935,72,23,270,23,849,239
58,R58,2898,288,19,30,11,5106,165
59,R59,3154,75,3,258,117,2259,223
60,R60,2042,321,31,90,40,150,125
61,R61,2716,80,22,150,75,162,243
62,R62,2579,51,20,382,10,1100,225
63,R63,2858,298,16,134,16,1405,175
64,R64,2700,348,24,228,94,1756,167
65,R65,3070,22,15,446,125,1624,210
66,R66,3015,76,14,319,29,2736,237
67,R67,3231,45,4,648,59,4173,221
