id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am
1,R1,3081,129,3,30,-1,1710,225
2,R2,3284,310,11,285,89,5115,189
3,R3,2322,334,25,42,14,162,156
4,R4,3151,326,20,256,27,3900,166
5,R5,3011,278,9,0,0,1473,196
6,R6,2808,66,17,67,8,3290,234
7,R7,3264,337,19,402,46,3907,174
8,R8,2877,172,13,180,32,1333,228
9,R9,3064,98,9,212,30,3823,235
10,R10,2418,170,20,180,48,1140,230
11,R11,2980,121,1,218,5,2780,221
12,R12,2985,349,2,390,25,1954,215
13,R13,3280,297,10,90,13,1549,193
14,R14,2240,319,26,108,48,890,145
15,R15,2665,24,11,706,-44,660,214
16,R16,3119,6,7,212,12,3726,212
17,R17,3185,358,17,150,41,1800,191
18,R18,3003,179,12,433,4,5193,225
19,R19,3202,165,3,30,-1,5815,222
20,R20,3276,240,14,108,1,2903,193
21,R21,3029,34,7,228,-7,2488,219
22,R22,3004,225,2,892,32,5643,216
23,R23,2903,32,16,540,114,1406,215
24,R24,2902,138,7,417,63,3779,232
25,R25,3372,67,14,480,86,3814,233
26,R26,3014,211,8,234,-21,2353,213
27,R27,2729,56,21,190,50,201,229
28,R28,2956,27,6,42,1,774,217
29,R29,2640,259,2,212,12,272,213
30,R30,3399,207,10,306,6,3074,214
31,R31,2871,269,33,153,100,2234,119
32,R32,2980,35,19,192,54,2125,214
33,R33,3232,336,18,85,27,2808,177
34,R34,3165,190,16,735,124,811,218
35,R35,3252,110,13,234,46,150,243
36,R36,2939,162,5,277,23,3904,224
37,R37,2955,19,9,60,0,3866,214
38,R38,2922,161,11,228,26,5388,231
39,R39,3014,282,20,150,34,450,160
40,R40,3057,117,7,175,11,3094,233
41,R41,2815,75,30,379,166,1036,240
42,R42,2702,16,17,170,51,277,203
43,R43,3213,49,22,210,43,5423,223
44,R44,3237,95,14,497,122,4999,242
45,R45,2543,81,10,175,30,1405,234
46,R46,2759,194,10,306,20,1980,219
47,R47,2783,94,11,60,0,2202,237
48,R48,3025,76,8,30,-3,2471,230
49,R49,2837,350,9,540,66,1972,203
50,R50,2932,94,16,210,-8,339,244
51,R51,3121,178,15,324,50,283,225
52,R52,2828,129,24,85,26,4436,251
53,R53,2942,0,9,342,10,4671,208
54,R54,3200,77,11,594,119,1440,234
55,R55,3126,55,8,0,0,1950,225
56,R56,2644,89,18,509,43,816,244
57,R57,2597,111,19,577,-2,752,249
58,R58,3144,94,10,42,6,778,236
59,R59,2939,18,26,190,80,1392,190
60,R60,3242,84,10,85,12,1477,234
61,R61,2545,287,25,0,0,1104,141
62,R62,2603,108,14,30,6,1639,243
63,R63,2788,317,10,30,3,1992,195
64,R64,2860,350,28,85,29,5029,158
65,R65,2567,338,16,67,15,932,183
66,R66,3075,135,2,0,0,3726,222
67,R67,3272,310,12,216,54,4705,186
68,R68,3044,43,19,218,28,3196,220
69,R69,3215,153,14,469,113,361,236
70,R70,2668,54,11,430,31,931,226
71,R71,3304,322,16,382,81,4306,178
72,R72,2165,164,25,323,148,484,233
73,R73,2576,346,14,192,25,684,191
74,R74,2988,12,21,323,68,2704,193
75,R75,2896,43,17,361,94,4564,221
76,R76,2968,61,12,458,16,792,230
77,R77,2420,34,14,201,39,1048,217
78,R78,2974,82,14,30,7,1566,239
79,R79,3317,30,23,745,255,882,207
80,R80,3263,132,15,277,-15,3820,242
81,R81,3035,139,20,127,23,3091,246
82,R82,3062,220,8,127,25,3026,211
83,R83,3001,347,13,134,9,2589,196
84,R84,3219,0,21,516,103,1682,185
85,R85,3412,30,14,797,183,780,215
86,R86,2777,21,8,270,21,2033,215
87,R87,3027,25,4,631,108,5179,218
88,R88,2809,98,9,390,0,1959,235
89,R89,2747,73,10,153,-2,1556,232
90,R90,2873,240,20,467,157,470,178
91,R91,3000,282,14,258,58,2581,180
92,R92,2476,231,26,124,55,1071,170
93,R93,3099,18,9,313,34,5094,213
94,R94,2975,118,22,162,49,5495,252
95,R95,2746,149,18,268,92,1620,240
96,R96,2989,148,18,240,45,2415,241
97,R97,3142,149,18,180,-6,6260,241
98,R98,3178,27,12,240,46,2197,215
99,R99,2605,206,21,108,36,1370,203
100,R100,3234,131,14,390,72,1320,242
101,R101,3304,81,3,361,85,3002,223
102,R102,3216,245,5,150,-4,6042,210
103,R103,3085,83,16,458,1,1865,241
104,R104,2969,344,12,537,49,5301,196
105,R105,3425,72,8,339,-35,1063,230
106,R106,3140,16,6,361,4,5686,215
107,R107,3080,119,6,300,30,391,230
108,R108,3122,21,7,255,15,3705,215
109,R109,2982,152,11,170,20,4829,234
110,R110,2596,236,14,150,76,1146,195
111,R111,3215,348,26,350,77,3662,162
112,R112,2932,60,8,60,12,1719,227
113,R113,2903,285,20,67,26,3039,160
114,R114,2220,292,30,90,53,1127,123
