id,label,Elevation,Aspect,Slope
1,R1,3315,214,9
2,R2,3046,314,15
3,R3,3050,102,13
4,R4,2955,22,20
5,R5,3167,343,22
6,R6,2342,18,21
7,R7,3466,332,20
8,R8,3022,355,12
9,R9,3148,7,8
10,R10,2872,58,25
11,R11,3249,332,10
12,R12,3142,295,11
13,R13,2933,147,15
14,R14,2808,10,11
15,R15,3288,146,9
16,R16,2879,195,5
17,R17,2877,41,14
18,R18,2582,105,25
19,R19,2971,50,12
20,R20,3291,315,12
21,R21,2654,38,9
22,R22,3023,13,15
23,R23,2472,345,7
24,R24,2962,61,12
25,R25,2552,10,7
26,R26,3408,61,13
27,R27,2962,113,14
28,R28,3381,76,10
29,R29,2985,321,12
30,R30,3310,352,14
31,R31,2582,137,13
32,R32,2919,326,5
33,R33,3294,308,6
34,R34,3122,84,7
35,R35,2561,205,22
36,R36,2813,69,9
37,R37,3118,99,9
38,R38,2971,277,8
39,R39,2343,191,15
40,R40,2669,357,18
41,R41,2202,185,22
42,R42,3058,45,7
43,R43,2837,326,20
44,R44,3074,70,12
45,R45,3215,215,10
46,R46,2972,27,6
47,R47,2864,77,12
48,R48,3133,45,4
49,R49,3068,142,14
50,R50,2993,204,15
51,R51,3058,303,11
52,R52,3083,202,13
53,R53,3013,27,2
54,R54,2883,236,19
55,R55,3386,193,19
56,R56,3037,213,10
57,R57,3042,74,12
58,R58,3010,220,7
59,R59,3116,8,7
60,R60,2507,131,26
61,R61,2644,331,6
62,R62,3055,163,19
63,R63,3037,7,23
64,R64,2958,12,9
65,R65,2768,85,5
66,R66,3137,318,14
67,R67,2038,312,30
68,R68,3077,3,5
69,R69,2916,355,10
70,R70,2952,342,14
71,R71,3158,118,4
72,R72,2991,97,15
73,R73,3352,126,31
74,R74,2773,24,8
75,R75,3146,17,13
76,R76,2888,104,9
77,R77,2816,53,16
78,R78,3184,352,8
79,R79,3084,5,8
80,R80,2581,60,7
81,R81,3224,0,14
82,R82,2763,58,22
83,R83,3371,13,16
84,R84,2473,327,16
85,R85,3162,120,9
86,R86,3139,329,7
87,R87,2961,351,17
88,R88,3274,287,15
89,R89,2299,217,24
90,R90,3228,81,3
91,R91,3128,79,8
92,R92,3066,114,8
93,R93,2745,70,17
94,R94,2859,124,15
95,R95,2701,324,15
96,R96,2919,101,15
97,R97,2817,299,17
98,R98,2984,132,14
99,R99,3192,339,12
100,R100,2769,205,32
101,R101,2946,51,10
102,R102,2816,100,14
103,R103,2753,45,2
104,R104,2990,31,18
105,R105,2104,290,23
106,R106,3223,16,4
107,R107,3237,350,9
108,R108,2796,2,8
109,R109,2605,8,38
110,R110,3078,27,8
111,R111,3170,122,16
112,R112,2825,281,27
113,R113,2539,50,8
114,R114,3091,55,24
115,R115,2808,76,8
116,R116,2230,68,29
117,R117,2358,269,25
118,R118,2893,63,3
119,R119,2939,180,5
120,R120,3201,97,16
121,R121,2949,106,12
122,R122,3149,118,8
123,R123,3262,332,20
124,R124,2900,56,2
125,R125,3237,252,1
126,R126,3083,6,17
127,R127,2191,340,29
128,R128,2824,345,18
129,R129,3327,216,17
130,R130,2922,87,5
131,R131,3201,212,14
132,R132,3147,216,6
133,R133,3238,11,15
134,R134,2741,26,16
135,R135,2976,102,10
136,R136,2916,56,14
