id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points
1,R1,2788,151,21,247,80,1620,241,235,113,2293
2,R2,2972,103,24,162,36,1706,252,201,63,2643
3,R3,2834,26,11,240,36,1950,215,215,136,1651
4,R4,3222,351,6,30,3,5934,209,229,159,532
5,R5,2762,334,27,180,87,1158,150,194,177,1283
6,R6,2560,0,9,313,39,60,206,222,154,660
7,R7,3214,330,13,323,23,1579,189,224,174,391
8,R8,3119,90,0,67,1,2356,219,237,155,2148
9,R9,3142,19,10,60,16,2933,213,219,142,5465
10,R10,2926,97,17,95,17,4641,245,214,93,5779
11,R11,2628,142,18,30,5,1256,243,233,112,819
12,R12,3154,147,18,218,9,2297,242,235,115,1563
13,R13,3420,95,6,268,-2,1048,229,231,136,892
14,R14,3124,234,11,42,0,2407,202,250,185,384
15,R15,2709,15,7,497,78,1310,214,225,148,1606
16,R16,2810,33,13,134,12,2163,217,210,126,2300
17,R17,3350,128,8,30,-5,4279,234,235,132,3856
18,R18,3152,234,24,793,61,4200,174,253,209,1055
19,R19,3041,194,9,404,-31,5835,219,248,163,2826
20,R20,3296,76,17,323,101,3384,238,207,93,503
21,R21,3333,130,15,295,98,3133,243,231,113,3174
22,R22,3172,104,9,218,38,840,235,229,126,2206
23,R23,3247,95,10,582,115,807,236,225,120,5587
24,R24,2820,43,10,85,-6,1727,222,219,131,1771
25,R25,2964,290,16,180,49,5814,172,236,203,1262
26,R26,2996,51,10,295,96,451,225,218,126,1436
27,R27,2893,133,10,60,5,630,236,236,130,2564
28,R28,2773,334,23,150,-4,1338,161,203,178,1935
29,R29,2751,73,11,60,-2,2561,233,220,118,1771
30,R30,2929,265,9,95,20,5050,198,244,185,4136
31,R31,2918,103,24,782,285,2581,252,201,64,1747
32,R32,3066,0,11,0,0,1321,203,219,153,2473
33,R33,2799,311,16,175,46,2317,175,227,191,836
34,R34,2511,327,8,216,52,256,201,231,170,331
35,R35,2545,349,18,30,10,150,184,207,160,1714
36,R36,3066,322,19,323,63,2584,168,217,187,908
37,R37,2584,38,6,451,86,1230,220,227,143,1600
38,R38,3214,106,8,878,42,4096,235,230,127,2170
39,R39,2917,308,15,216,48,1559,177,229,192,1266
40,R40,3279,240,15,706,81,1200,190,251,197,1678
41,R41,2760,17,18,120,38,2630,203,200,130,2497
42,R42,2473,272,38,120,76,319,97,221,247,300
43,R43,3053,75,31,285,135,2131,240,166,34,2649
44,R44,3182,318,6,124,10,4683,205,235,169,1411
45,R45,2845,56,20,150,56,3510,229,193,89,2695
46,R46,2976,95,18,162,22,2167,245,211,89,810
47,R47,3246,306,25,67,5,3699,142,215,210,1622
48,R48,2998,35,19,297,95,4443,214,194,108,4703
49,R49,2645,175,8,433,114,680,225,244,153,1380
50,R50,3198,124,3,124,-15,2460,225,237,146,2695
51,R51,3264,61,6,785,116,6054,225,227,136,2582
52,R52,3141,67,17,726,143,2210,234,204,96,2739
53,R53,2445,180,9,330,-14,934,224,246,155,1256
54,R54,2753,103,20,108,24,2813,249,210,80,2123
55,R55,2695,240,14,170,28,1053,193,251,194,1657
56,R56,2835,278,28,351,-37,2676,133,231,231,182
57,R57,3155,286,18,0,0,4042,169,237,207,1253
58,R58,3193,108,20,255,76,480,249,214,84,1731
59,R59,2446,12,23,42,8,664,189,186,126,722
60,R60,3208,210,16,30,-2,2170,206,253,179,3909
61,R61,3039,217,5,134,0,3171,215,245,167,1159
62,R62,2613,165,9,85,6,624,228,243,147,1120
63,R63,2345,318,12,210,89,1717,187,229,181,977
64,R64,3300,291,3,212,8,5590,210,239,167,516
65,R65,3054,4,18,95,33,1140,193,201,143,1064
66,R66,3046,312,11,391,96,664,189,232,183,808
67,R67,3207,90,9,240,0,2067,233,227,125,2888
68,R68,3186,64,9,283,10,1515,229,221,125,1595
69,R69,3223,262,14,764,165,1690,184,246,201,663
70,R70,3395,82,10,124,-1,2275,235,222,118,3598
71,R71,2941,194,22,134,54,1695,211,252,164,1113
72,R72,2592,21,25,350,149,972,195,179,110,1006
73,R73,3308,136,21,787,-39,1316,247,226,97,2607
74,R74,3204,150,22,376,126,309,242,233,109,2922
75,R75,3041,14,9,484,17,3749,212,222,147,2640
76,R76,3157,329,11,150,29,2003,193,227,173,1844
77,R77,2493,45,6,218,31,256,222,227,141,1092
78,R78,2494,63,4,240,17,908,224,231,143,4194
79,R79,3091,27,4,90,6,1341,218,230,149,1524
80,R80,2478,322,18,153,47,1302,172,219,186,474
81,R81,2864,81,29,150,62,162,244,175,40,212
82,R82,3182,347,14,150,34,930,191,216,162,2060
83,R83,2369,25,12,120,50,1075,213,213,134,824
84,R84,2927,36,15,631,148,1282,218,205,119,2592
85,R85,3174,0,6,323,48,4608,211,228,155,2407
86,R86,3070,171,14,255,32,1710,229,245,144,537
87,R87,3009,274,20,335,98,5755,162,241,216,1254
88,R88,3018,188,5,1008,99,5587,220,244,159,5733
89,R89,2855,40,8,319,54,2945,221,222,135,2442
90,R90,2518,121,16,170,32,351,246,225,103,1302
91,R91,2879,20,16,190,24,3208,208,205,131,2356
92,R92,3116,18,12,295,98,4863,211,215,140,2166
93,R93,2964,110,8,240,10,1936,234,231,129,1254
