id,label,Elevation,Aspect,Slope
1,R1,3001,24,6
2,R2,3137,129,9
3,R3,2345,287,26
4,R4,3240,100,10
5,R5,2772,56,7
6,R6,2985,309,12
7,R7,3238,25,16
8,R8,3004,66,8
9,R9,3136,230,12
10,R10,2694,97,8
11,R11,2558,60,14
12,R12,2647,102,26
13,R13,3172,155,10
14,R14,3109,180,2
15,R15,3122,111,15
16,R16,3256,40,21
17,R17,3184,225,5
18,R18,3073,76,10
19,R19,3257,277,14
20,R20,3084,108,11
21,R21,2252,291,29
22,R22,2891,89,20
23,R23,3229,16,15
24,R24,2808,327,16
25,R25,3011,351,22
26,R26,3227,107,24
27,R27,2420,56,26
28,R28,3143,135,3
29,R29,3317,264,7
30,R30,2929,216,9
31,R31,3281,135,4
32,R32,3307,346,26
33,R33,2857,315,17
34,R34,3082,51,10
35,R35,2878,153,7
36,R36,3071,31,4
37,R37,3178,326,25
38,R38,2799,118,11
39,R39,2194,285,29
40,R40,3468,305,11
41,R41,2949,351,15
42,R42,2957,155,12
43,R43,3156,89,24
44,R44,3196,79,19
45,R45,3100,122,16
46,R46,3066,97,13
47,R47,2872,50,12
48,R48,2926,63,3
49,R49,2688,21,8
50,R50,3042,80,8
51,R51,2902,92,11
52,R52,3275,347,17
53,R53,3116,220,13
54,R54,2899,31,7
55,R55,3024,181,16
56,R56,2994,28,17
57,R57,2922,5,8
58,R58,3132,335,13
59,R59,3312,99,17
60,R60,2567,145,11
61,R61,3092,242,16
62,R62,2797,341,11
63,R63,3316,207,12
64,R64,3248,185,35
65,R65,2977,302,13
66,R66,2765,313,16
67,R67,2089,109,27
68,R68,2183,12,28
69,R69,3152,224,14
70,R70,3227,99,12
71,R71,3008,68,3
72,R72,2963,235,4
73,R73,2838,228,22
74,R74,2772,25,7
75,R75,3181,180,5
76,R76,2866,127,16
77,R77,3053,5,14
78,R78,2968,51,3
79,R79,2864,174,34
80,R80,2890,28,18
81,R81,3067,210,17
82,R82,2885,101,24
83,R83,3166,266,10
84,R84,3123,127,9
85,R85,3099,17,9
86,R86,2775,151,26
87,R87,2903,20,19
88,R88,3178,178,30
89,R89,3092,152,23
90,R90,2670,174,4
91,R91,3216,227,22
92,R92,3439,112,8
93,R93,2780,225,0
94,R94,2820,39,9
95,R95,2783,31,8
96,R96,3178,127,39
97,R97,2852,288,12
98,R98,2839,155,12
99,R99,2646,43,18
100,R100,3222,298,9
101,R101,3097,173,4
102,R102,2823,102,13
103,R103,2342,165,14
104,R104,3151,169,20
105,R105,3076,112,17
106,R106,3080,354,9
107,R107,2872,21,7
108,R108,2630,27,8
109,R109,2995,342,13
110,R110,3023,45,6
111,R111,3275,247,16
112,R112,2765,357,14
113,R113,3229,31,19
114,R114,3139,0,13
115,R115,3132,350,14
116,R116,3090,28,18
117,R117,2831,71,12
118,R118,2867,1,16
119,R119,2164,295,29
120,R120,2548,92,14
121,R121,3221,279,18
122,R122,3014,346,4
123,R123,2830,90,5
124,R124,2465,224,19
