id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points
1,R1,3139,329,7,153,20,2215,204,232,167,2155
2,R2,3094,168,32,430,27,1748,226,233,114,1503
3,R3,2768,307,26,212,74,1006,141,214,209,2314
4,R4,2500,78,16,67,14,247,239,210,97,1316
5,R5,3052,78,14,371,49,1253,237,213,104,2904
6,R6,2873,32,16,0,0,192,215,204,121,42
7,R7,2989,40,8,339,52,3833,221,222,135,1471
8,R8,3205,100,12,631,184,2568,239,224,113,2942
9,R9,3018,132,11,277,66,934,238,234,125,1055
10,R10,2725,261,12,153,25,1719,189,246,195,902
11,R11,2653,148,20,60,15,1354,242,234,113,6417
12,R12,3027,40,16,402,24,1892,220,203,113,1549
13,R13,3331,183,5,579,36,967,221,243,157,1218
14,R14,3129,308,15,150,29,3301,177,229,192,5011
15,R15,3077,77,13,283,-8,2201,236,216,110,1550
16,R16,3019,101,1,60,9,5243,221,237,152,2421
17,R17,3282,315,8,481,7,2525,198,233,175,631
18,R18,3337,90,8,424,74,960,233,227,127,1318
19,R19,3185,261,13,201,40,2735,188,247,197,698
20,R20,3228,42,22,108,36,1924,217,186,94,2224
21,R21,3216,263,19,306,85,1637,171,246,212,2270
22,R22,3347,5,9,162,58,4980,209,223,152,182
23,R23,3238,64,13,67,8,1154,232,212,110,993
24,R24,3196,290,20,60,27,4911,159,232,212,842
25,R25,3240,274,10,661,130,1332,193,243,189,2678
26,R26,2462,295,15,295,18,685,175,234,199,1249
27,R27,2729,43,8,30,-1,1471,222,222,135,1374
28,R28,3095,153,11,474,64,5085,233,241,138,1613
29,R29,3377,212,18,534,171,774,201,254,183,815
30,R30,2719,73,8,60,-2,2275,230,225,128,2402
31,R31,2816,131,15,85,17,1168,243,231,114,3050
32,R32,2952,74,18,218,-14,516,239,203,89,430
33,R33,2248,140,23,150,68,1570,247,226,95,108
34,R34,2678,117,10,484,0,765,237,231,124,1289
35,R35,3002,7,9,175,-2,2338,209,222,150,2695
36,R36,2768,0,4,30,1,2230,214,232,156,1134
37,R37,2975,265,15,768,79,6031,180,246,204,5786
38,R38,3298,123,14,569,160,924,243,229,112,2274
39,R39,2766,24,8,90,3,1506,216,222,143,1624
40,R40,3084,99,30,216,67,3270,252,185,39,2173
41,R41,3290,214,9,408,63,3995,212,248,172,2305
42,R42,3125,330,9,300,17,1994,199,229,170,2724
43,R43,3022,18,3,391,46,5306,217,233,153,1214
44,R44,2972,10,5,404,54,3680,214,229,152,1608
45,R45,3394,40,16,408,160,1978,220,204,114,2015
46,R46,3083,14,15,402,23,3745,205,208,137,2561
47,R47,2929,79,1,30,0,3507,220,236,152,2702
48,R48,2711,9,6,268,44,1061,214,228,152,1650
49,R49,2899,84,17,85,21,1176,242,208,90,1664
50,R50,2869,213,25,60,29,2732,189,254,189,616
51,R51,3280,8,14,618,56,2900,203,212,145,3460
52,R52,2971,83,11,212,-4,3555,236,220,114,2264
53,R53,3129,76,13,663,-15,540,236,216,109,1718
54,R54,2676,23,8,30,1,1748,216,223,144,5454
55,R55,3328,126,20,402,28,1124,248,223,94,2783
56,R56,3291,29,11,30,0,1972,216,216,134,4748
57,R57,3272,42,17,624,213,1063,220,201,111,424
58,R58,2898,278,16,201,-8,2121,176,241,204,1154
59,R59,2919,107,16,150,36,6002,246,219,97,4468
60,R60,2589,186,16,150,-33,1209,221,250,157,962
61,R61,3249,31,14,124,61,1368,216,209,126,2748
62,R62,3329,255,5,90,11,1148,209,243,172,1756
63,R63,2990,249,17,95,14,1356,182,250,205,2652
64,R64,2239,336,14,30,8,1475,187,220,171,633
65,R65,3075,203,2,450,20,3254,218,240,159,446
66,R66,3207,21,16,417,132,972,208,204,129,700
67,R67,3210,139,20,268,33,5474,246,229,101,3027
68,R68,3287,269,17,283,71,3422,173,244,209,1895
69,R69,3230,246,19,485,116,5911,177,251,209,3001
70,R70,3344,112,13,404,59,1805,242,226,111,1865
71,R71,2966,280,19,446,-22,1320,163,238,213,1834
72,R72,2735,63,25,295,33,1071,232,181,66,1802
73,R73,3096,162,10,90,0,6956,230,243,144,2605
74,R74,3356,235,18,616,211,1379,186,253,200,4158
75,R75,2972,14,19,361,5,569,199,198,131,335
76,R76,2950,162,19,420,112,731,235,241,129,2081
77,R77,3191,33,16,382,-16,3863,215,202,118,3799
78,R78,3379,349,19,42,13,1667,183,206,159,1869
79,R79,3077,77,16,67,17,2258,239,208,95,1290
80,R80,2754,0,7,134,21,2812,210,228,155,5374
81,R81,2756,13,13,175,34,2506,207,212,141,2408
82,R82,2619,169,16,0,0,3371,230,245,141,2605
83,R83,2953,140,4,60,0,1340,225,238,148,379
84,R84,2976,85,8,258,57,3671,232,227,128,2780
85,R85,3120,253,7,162,0,2244,204,245,179,1917
86,R86,2962,86,11,127,21,1837,236,222,117,1034
87,R87,2897,21,4,300,17,3679,217,231,151,3878
88,R88,3187,270,30,242,57,4698,130,234,235,3301
89,R89,2523,87,10,560,3,907,235,224,119,3884
90,R90,3157,339,15,30,7,2421,187,218,169,2876
91,R91,3115,302,3,30,-3,1999,211,238,165,2170
92,R92,3195,29,8,636,82,3449,217,222,140,3612
93,R93,2886,325,4,277,61,2594,210,235,163,2236
94,R94,2629,342,13,467,73,644,193,221,166,934
95,R95,3010,315,5,540,95,2685,206,235,169,1717
96,R96,2882,36,18,366,87,3197,216,198,112,900
97,R97,2595,5,28,285,25,566,173,174,128,1597
98,R98,3018,13,15,361,73,1731,204,208,138,3340
99,R99,3132,40,18,210,26,949,218,197,107,1991
100,R100,2853,81,22,424,184,1682,243,194,69,1588
101,R101,3072,181,24,895,124,3157,220,246,145,2112
102,R102,3174,37,5,755,99,1521,220,229,146,2526
103,R103,3052,337,17,319,12,3196,180,215,172,805
104,R104,3022,244,14,170,27,3205,191,250,196,1103
105,R105,2804,33,16,30,0,3453,215,202,118,6057
106,R106,2895,252,35,162,114,2442,123,238,238,1717
107,R107,3088,293,13,242,58,3396,184,237,193,537
108,R108,3414,204,11,787,208,2018,214,250,170,1170
109,R109,3237,270,1,426,58,4537,216,238,160,2817
110,R110,2615,19,17,258,56,488,206,203,130,1032
111,R111,3061,77,6,603,33,1530,228,228,134,2638
112,R112,2810,14,14,175,34,2101,206,210,139,2509
113,R113,3041,204,19,85,21,3144,205,254,176,1383
114,R114,3149,31,3,0,0,295,219,233,151,1593
115,R115,3230,67,26,437,76,4846,235,178,59,3388
116,R116,3301,193,12,190,0,3194,218,250,164,1521
117,R117,2952,77,21,240,9,295,241,197,77,1234
118,R118,2951,240,15,175,58,2155,190,252,197,1299
119,R119,2203,288,34,242,119,1345,109,215,236,661
120,R120,3135,92,14,182,-47,1583,241,217,103,1448
121,R121,3194,28,19,30,-4,2842,209,194,115,2575
122,R122,3208,76,2,60,11,5139,222,235,150,573
123,R123,3234,226,20,553,143,3990,188,254,197,808
124,R124,2733,138,6,0,0,1371,229,238,143,2552
125,R125,3200,324,6,607,53,2722,205,233,168,108
126,R126,3136,35,11,400,20,1999,219,215,131,999
127,R127,3071,23,8,30,2,700,216,223,144,1600
128,R128,2808,40,12,0,0,1019,221,213,125,1909
129,R129,2799,76,24,283,126,1144,241,187,63,497
130,R130,3176,317,9,30,7,1282,195,232,176,1103
131,R131,3149,65,13,268,43,5116,232,212,110,3107
132,R132,3269,319,10,659,41,1953,193,231,177,700
133,R133,2667,26,10,234,46,1138,215,218,138,920
134,R134,3055,146,30,228,65,360,244,220,82,1765
135,R135,3578,77,4,339,146,1682,226,231,141,1507
136,R136,2886,86,41,85,39,366,240,138,0,1645
137,R137,3075,86,8,277,40,60,232,227,129,883
138,R138,2965,330,19,433,70,953,173,214,179,1664
139,R139,2913,63,4,134,0,4601,224,231,143,1682
140,R140,3181,207,15,212,90,3580,209,253,175,541
141,R141,3173,31,10,607,65,5336,218,219,136,1084
142,R142,2762,94,6,212,30,2640,230,231,134,1850
143,R143,3104,315,7,218,35,426,201,234,172,1410
144,R144,2318,83,20,60,19,361,244,200,77,769
145,R145,2910,47,22,95,3,1650,221,188,91,1291
146,R146,3123,1,11,591,106,1549,204,219,152,2432
147,R147,3275,44,27,85,35,5160,214,171,76,90
148,R148,2962,85,8,30,0,1549,232,226,126,2164
149,R149,3207,238,6,67,-7,960,209,245,174,1266
150,R150,2934,204,15,301,48,1860,211,252,173,1794
151,R151,3026,55,21,510,216,962,228,191,87,990
152,R152,3162,44,16,30,6,4694,222,204,112,1215
153,R153,2885,104,6,537,139,1140,230,233,136,2697
154,R154,2829,340,13,124,19,2298,192,220,167,2789
155,R155,3034,49,9,170,8,854,224,221,131,2002
156,R156,3024,45,7,376,52,2383,222,225,138,2455
