id,label,Elevation,Aspect
1,R1,83,2
2,R2,14,60
3,R3,9,18
4,R4,56,8
5,R5,85,80
6,R6,37,44
7,R7,5,28
8,R8,75,95
9,R9,13,2
10,R10,70,11
11,R11,32,46
12,R12,26,80
13,R13,42,17
14,R14,1,24
15,R15,73,38
16,R16,45,54
17,R17,21,9
18,R18,10,49
19,R19,82,13
20,R20,47,28
21,R21,41,18
22,R22,33,78
23,R23,73,52
24,R24,48,18
25,R25,99,51
26,R26,37,89
27,R27,12,73
28,R28,72,64
29,R29,87,55
30,R30,74,45
31,R31,66,49
32,R32,71,53
33,R33,7,2
34,R34,70,66
35,R35,64,15
36,R36,91,74
37,R37,21,51
38,R38,29,26
39,R39,26,3
40,R40,82,60
41,R41,2,27
42,R42,57,98
43,R43,60,88
44,R44,82,74
45,R45,68,71
46,R46,87,33
47,R47,46,2
48,R48,80,96
49,R49,65,88
50,R50,29,96
51,R51,25,94
52,R52,2,70
53,R53,60,94
54,R54,39,7
55,R55,50,25
56,R56,91,37
57,R57,100,17
58,R58,95,30
59,R59,19,4
60,R60,27,16
61,R61,61,73
62,R62,8,25
63,R63,46,75
64,R64,67,63
65,R65,73,54
66,R66,12,50
67,R67,53,39
68,R68,56,8
69,R69,28,7
70,R70,20,34
71,R71,48,76
72,R72,37,66
73,R73,26,74
74,R74,55,69
75,R75,71,54
76,R76,49,93
77,R77,57,7
78,R78,34,90
79,R79,46,79
80,R80,44,82
81,R81,97,96
82,R82,89,5
83,R83,45,65
84,R84,42,40
85,R85,33,70
86,R86,46,15
87,R87,35,81
88,R88,80,24
89,R89,13,57
90,R90,71,24
91,R91,35,55
92,R92,9,38
93,R93,45,57
94,R94,50,88
95,R95,98,53
96,R96,17,80
97,R97,27,71
98,R98,26,51
99,R99,99,36
100,R100,22,20
101,R101,38,13
102,R102,82,35
103,R103,55,77
104,R104,89,42
105,R105,30,15
106,R106,89,81
107,R107,51,55
108,R108,76,58
109,R109,90,85
110,R110,23,43
111,R111,59,91
112,R112,93,78
113,R113,42,50
114,R114,61,86
115,R115,97,95
116,R116,75,81
117,R117,48,96
118,R118,93,55
119,R119,12,87
120,R120,81,4
121,R121,57,32
122,R122,12,65
123,R123,52,42
124,R124,4,61
125,R125,54,68
126,R126,35,13
127,R127,62,22
128,R128,37,30
129,R129,52,54
130,R130,11,43
131,R131,7,44
132,R132,53,46
133,R133,63,57
134,R134,36,81
135,R135,10,9
136,R136,95,93
137,R137,14,16
138,R138,22,29
139,R139,41,58
140,R140,65,72
141,R141,22,79
142,R142,78,41
143,R143,91,81
144,R144,72,98
145,R145,63,9
146,R146,32,6
147,R147,90,67
148,R148,81,28
149,R149,85,53
150,R150,2,7
151,R151,44,60
152,R152,23,69
153,R153,82,60
154,R154,91,13
155,R155,55,55
156,R156,92,10
157,R157,100,80
158,R158,34,83
159,R159,72,84
160,R160,35,45
161,R161,35,1
162,R162,72,85
163,R163,74,56
164,R164,63,60
165,R165,68,10
166,R166,27,74
167,R167,71,65
168,R168,61,57
169,R169,21,54
170,R170,61,88
171,R171,60,23
172,R172,1,59
173,R173,63,24
174,R174,4,49
175,R175,40,75
176,R176,57,93
177,R177,23,57
178,R178,51,90
179,R179,61,4
180,R180,98,64
181,R181,62,38
182,R182,85,65
183,R183,98,29
184,R184,100,82
185,R185,91,83
186,R186,43,26
187,R187,16,93
