id,label,Elevation,Aspect,Slope
1,R1,52,40,89
2,R2,87,80,21
3,R3,78,57,14
4,R4,32,91,53
5,R5,40,4,58
6,R6,49,58,51
7,R7,15,75,65
8,R8,50,8,8
9,R9,64,45,10
10,R10,96,75,19
11,R11,98,53,30
12,R12,31,30,25
13,R13,71,70,87
14,R14,36,1,39
15,R15,61,28,25
16,R16,31,97,95
17,R17,10,55,20
18,R18,16,77,94
19,R19,61,73,56
20,R20,67,87,78
21,R21,40,87,100
22,R22,77,39,22
23,R23,44,50,47
24,R24,46,62,73
25,R25,36,65,35
26,R26,65,81,82
27,R27,27,40,48
28,R28,8,84,4
29,R29,44,100,65
30,R30,71,32,17
31,R31,63,36,30
32,R32,99,53,7
33,R33,43,20,61
34,R34,51,96,40
35,R35,39,32,52
36,R36,79,50,74
37,R37,88,31,51
38,R38,42,62,55
39,R39,80,81,93
40,R40,44,97,36
41,R41,61,19,53
42,R42,75,18,28
43,R43,34,1,79
44,R44,19,41,29
45,R45,3,79,44
46,R46,15,59,29
47,R47,69,71,94
48,R48,36,12,89
49,R49,45,63,84
50,R50,81,83,71
51,R51,54,22,84
52,R52,90,12,40
53,R53,40,16,30
54,R54,87,47,57
55,R55,55,57,81
56,R56,30,81,92
57,R57,79,87,71
58,R58,49,24,84
59,R59,46,95,25
60,R60,84,15,52
61,R61,6,35,44
62,R62,50,87,33
63,R63,61,20,6
64,R64,94,37,90
65,R65,96,41,91
66,R66,94,84,41
67,R67,57,46,42
68,R68,6,88,76
69,R69,8,68,18
70,R70,58,30,16
71,R71,34,38,50
72,R72,42,79,3
73,R73,87,13,18
74,R74,52,74,92
75,R75,15,94,52
76,R76,43,38,79
77,R77,92,1,54
78,R78,27,92,20
79,R79,85,65,26
80,R80,23,60,16
81,R81,32,5,31
82,R82,4,14,14
83,R83,69,59,36
84,R84,65,42,25
85,R85,39,5,50
86,R86,8,43,15
87,R87,77,33,15
88,R88,52,77,90
89,R89,30,77,8
90,R90,19,35,58
91,R91,71,64,29
92,R92,13,85,18
93,R93,80,95,76
94,R94,5,17,68
95,R95,8,28,68
96,R96,23,79,26
97,R97,21,73,84
98,R98,33,77,85
99,R99,4,56,21
100,R100,24,25,2
101,R101,31,53,67
102,R102,20,24,9
103,R103,39,83,50
104,R104,32,56,88
105,R105,44,81,17
106,R106,6,59,76
107,R107,44,63,73
108,R108,85,90,67
109,R109,98,35,39
110,R110,78,46,21
111,R111,44,89,27
112,R112,54,5,96
113,R113,69,100,71
114,R114,58,25,17
115,R115,5,31,24
116,R116,43,5,48
117,R117,55,30,42
118,R118,80,63,51
119,R119,18,2,9
120,R120,73,78,68
121,R121,32,68,92
122,R122,10,69,72
123,R123,95,74,63
124,R124,17,4,68
125,R125,14,58,5
126,R126,83,17,19
127,R127,39,15,52
128,R128,52,5,94
129,R129,83,82,29
130,R130,25,62,42
131,R131,16,91,51
132,R132,70,37,69
133,R133,80,72,75
134,R134,68,98,52
135,R135,47,1,43
136,R136,95,84,28
137,R137,59,18,56
138,R138,23,62,79
139,R139,65,89,38
140,R140,93,75,71
141,R141,7,81,64
142,R142,81,88,100
143,R143,27,60,22
144,R144,30,15,43
145,R145,25,96,38
146,R146,6,94,85
147,R147,22,98,38
148,R148,83,75,84
149,R149,59,9,69
150,R150,6,65,66
151,R151,5,52,31
152,R152,75,55,26
153,R153,54,61,73
154,R154,7,37,87
155,R155,1,57,76
156,R156,71,25,69
157,R157,85,92,1
158,R158,3,27,94
159,R159,37,62,82
160,R160,100,43,14
161,R161,61,72,17
162,R162,71,99,77
163,R163,46,60,90
164,R164,100,39,86
165,R165,24,66,63
166,R166,33,54,32
167,R167,30,37,10
168,R168,54,30,76
169,R169,94,55,3
170,R170,84,77,49
171,R171,5,26,55
172,R172,51,25,4
173,R173,67,76,17
174,R174,79,39,23
175,R175,71,36,28
176,R176,19,83,50
177,R177,2,45,93
178,R178,5,11,63
179,R179,58,76,62
180,R180,61,55,22
181,R181,39,55,47
182,R182,5,30,60
183,R183,53,9,85
184,R184,43,67,52
185,R185,2,73,76
186,R186,39,6,84
187,R187,35,74,22
188,R188,85,92,71
189,R189,68,44,27
190,R190,35,15,81
191,R191,42,35,25
192,R192,57,70,27
193,R193,7,49,38
194,R194,28,94,54
195,R195,76,82,2
196,R196,42,100,14
197,R197,54,46,31
198,R198,47,93,46
199,R199,11,24,36
200,R200,34,36,36
201,R201,73,55,59
202,R202,90,63,69
203,R203,84,61,20
204,R204,48,35,65
205,R205,21,15,16
