id,label,Elevation,Aspect
1,R1,29,18
2,R2,5,63
3,R3,36,89
4,R4,95,50
5,R5,40,21
6,R6,79,64
7,R7,21,38
8,R8,9,82
9,R9,92,11
10,R10,71,48
11,R11,52,69
12,R12,97,22
13,R13,60,84
14,R14,72,28
15,R15,85,48
16,R16,100,50
17,R17,95,67
18,R18,26,50
19,R19,31,83
20,R20,99,75
21,R21,12,43
22,R22,85,92
23,R23,6,10
24,R24,73,81
25,R25,52,43
26,R26,92,30
27,R27,19,36
28,R28,55,25
29,R29,9,71
30,R30,17,73
31,R31,53,49
32,R32,1,62
33,R33,16,95
34,R34,96,53
35,R35,59,77
36,R36,100,36
37,R37,14,5
38,R38,40,1
39,R39,79,14
40,R40,69,61
41,R41,15,36
42,R42,52,9
43,R43,4,14
44,R44,11,65
45,R45,46,72
46,R46,93,84
47,R47,12,6
48,R48,55,77
49,R49,19,97
50,R50,31,23
51,R51,2,22
52,R52,44,9
53,R53,22,15
54,R54,28,49
55,R55,8,14
56,R56,64,69
57,R57,72,63
58,R58,13,86
59,R59,91,23
60,R60,28,33
61,R61,4,36
62,R62,89,8
63,R63,2,46
64,R64,74,16
65,R65,97,3
66,R66,75,48
67,R67,56,9
68,R68,62,35
69,R69,16,30
70,R70,31,82
71,R71,7,47
72,R72,38,21
73,R73,16,49
74,R74,87,99
75,R75,31,29
76,R76,87,56
77,R77,51,21
78,R78,38,15
79,R79,55,46
80,R80,10,7
81,R81,91,54
82,R82,82,82
83,R83,86,5
84,R84,42,45
85,R85,27,40
86,R86,28,25
87,R87,2,96
88,R88,99,12
89,R89,47,81
90,R90,3,54
91,R91,15,90
92,R92,19,80
93,R93,60,92
94,R94,25,82
95,R95,83,48
96,R96,9,86
97,R97,20,54
98,R98,82,16
99,R99,90,70
100,R100,64,100
101,R101,63,53
102,R102,75,15
103,R103,99,50
104,R104,23,91
105,R105,17,20
106,R106,37,100
107,R107,89,54
108,R108,56,38
109,R109,29,79
110,R110,5,57
111,R111,69,18
112,R112,81,23
113,R113,30,11
114,R114,26,13
115,R115,56,43
116,R116,7,66
117,R117,80,2
118,R118,31,27
119,R119,41,4
120,R120,79,37
121,R121,70,69
122,R122,18,7
123,R123,97,54
124,R124,17,98
125,R125,21,14
126,R126,97,30
127,R127,100,13
128,R128,19,48
129,R129,89,81
130,R130,63,15
131,R131,44,100
132,R132,96,66
133,R133,17,46
134,R134,18,57
135,R135,54,90
136,R136,4,33
137,R137,1,80
138,R138,16,9
139,R139,38,54
140,R140,46,41
141,R141,62,4
142,R142,12,81
143,R143,99,6
144,R144,16,97
145,R145,7,27
146,R146,84,10
147,R147,15,48
148,R148,80,54
149,R149,75,34
150,R150,62,13
151,R151,34,35
152,R152,71,35
153,R153,55,59
154,R154,51,10
155,R155,33,15
156,R156,3,40
157,R157,26,28
158,R158,19,29
159,R159,40,65
160,R160,1,67
161,R161,96,57
162,R162,69,64
163,R163,95,86
164,R164,36,94
165,R165,34,67
166,R166,54,57
167,R167,57,26
168,R168,24,85
169,R169,9,38
170,R170,82,91
171,R171,91,31
172,R172,1,46
173,R173,53,53
174,R174,46,37
175,R175,76,1
176,R176,87,24
177,R177,17,53
178,R178,49,24
179,R179,43,1
180,R180,88,18
181,R181,89,16
182,R182,12,90
183,R183,14,23
184,R184,48,48
185,R185,1,96
186,R186,39,25
187,R187,49,21
188,R188,77,74
189,R189,96,96
190,R190,29,22
191,R191,61,85
192,R192,25,40
193,R193,10,90
194,R194,61,81
195,R195,75,72
196,R196,48,84
197,R197,65,100
198,R198,98,39
199,R199,75,49
200,R200,97,24
201,R201,45,5
202,R202,35,7
203,R203,63,91
204,R204,55,69
205,R205,84,42
206,R206,46,15
207,R207,12,71
208,R208,44,3
209,R209,44,82
210,R210,94,5
211,R211,90,96
212,R212,58,9
213,R213,77,6
214,R214,50,28
215,R215,74,18
216,R216,41,44
217,R217,46,2
218,R218,43,69
219,R219,73,57
220,R220,74,62
221,R221,21,44
222,R222,47,10
223,R223,77,100
224,R224,6,76
225,R225,77,85
226,R226,63,76
227,R227,51,73
228,R228,88,35
229,R229,25,80
230,R230,72,78
231,R231,70,51
232,R232,11,4
233,R233,15,44
234,R234,41,13
235,R235,82,83
236,R236,60,49
237,R237,19,91
238,R238,53,24
239,R239,4,30
240,R240,77,68
241,R241,5,15
242,R242,98,56
243,R243,34,77
244,R244,91,55
245,R245,18,50
246,R246,38,10
247,R247,4,85
248,R248,29,30
249,R249,48,73
250,R250,89,81
251,R251,10,26
252,R252,72,61
253,R253,42,59
254,R254,93,54
255,R255,37,45
256,R256,27,8
257,R257,24,97
258,R258,92,16
259,R259,40,7
260,R260,48,100
261,R261,96,9
262,R262,94,74
263,R263,100,12
264,R264,20,25
265,R265,36,84
266,R266,64,81
267,R267,32,8
268,R268,64,40
269,R269,11,86
270,R270,96,83
271,R271,72,80
272,R272,73,70
273,R273,4,38
274,R274,68,11
275,R275,15,24
276,R276,17,17
277,R277,66,24
278,R278,75,7
279,R279,6,38
280,R280,45,57
281,R281,73,58
282,R282,45,37
283,R283,24,33
284,R284,56,26
285,R285,1,13
286,R286,83,8
287,R287,70,94
288,R288,49,3
289,R289,78,78
290,R290,49,41
291,R291,73,61
292,R292,47,47
293,R293,4,64
294,R294,71,35
295,R295,20,54
296,R296,94,72
297,R297,18,2
298,R298,70,52
299,R299,47,3
300,R300,85,4
301,R301,36,12
302,R302,91,85
303,R303,21,97
304,R304,71,86
305,R305,100,15
306,R306,95,75
307,R307,55,58
308,R308,52,90
309,R309,20,23
310,R310,17,12
311,R311,25,94
312,R312,96,44
313,R313,13,41
314,R314,77,19
315,R315,82,44
316,R316,93,3
317,R317,63,81
318,R318,42,32
319,R319,77,100
320,R320,2,13
321,R321,56,5
322,R322,20,1
323,R323,54,28
324,R324,21,77
325,R325,44,48
326,R326,80,33
327,R327,2,48
328,R328,47,67
329,R329,22,96
330,R330,60,69
331,R331,81,5
332,R332,64,94
333,R333,71,17
334,R334,24,51
335,R335,90,89
336,R336,94,84
337,R337,14,50
338,R338,99,93
339,R339,60,89
340,R340,75,14
341,R341,70,94
342,R342,44,80
343,R343,88,44
344,R344,47,35
345,R345,45,82
346,R346,15,41
347,R347,83,83
348,R348,25,18
349,R349,74,27
350,R350,38,7
351,R351,39,95
352,R352,66,10
353,R353,6,86
354,R354,31,51
355,R355,10,8
356,R356,43,5
357,R357,88,39
358,R358,14,34
359,R359,36,64
360,R360,32,82
361,R361,72,14
362,R362,36,42
363,R363,88,81
364,R364,78,34
365,R365,98,51
366,R366,78,73
367,R367,38,94
368,R368,57,51
369,R369,95,3
370,R370,47,48
371,R371,49,92
372,R372,89,33
373,R373,14,56
374,R374,11,35
375,R375,14,3
376,R376,12,51
377,R377,67,77
378,R378,70,48
379,R379,41,100
380,R380,1,1
381,R381,77,31
382,R382,9,99
383,R383,29,49
384,R384,56,95
385,R385,44,45
386,R386,92,34
387,R387,49,63
388,R388,54,18
389,R389,44,50
390,R390,64,26
391,R391,69,8
392,R392,14,19
393,R393,36,24
394,R394,25,36
395,R395,12,5
396,R396,53,99
397,R397,88,3
398,R398,83,47
399,R399,61,69
400,R400,84,53
401,R401,17,24
402,R402,57,68
403,R403,27,68
404,R404,14,17
405,R405,50,76
406,R406,10,67
407,R407,67,88
408,R408,83,88
409,R409,15,39
410,R410,82,49
411,R411,8,21
412,R412,56,76
413,R413,38,3
414,R414,27,83
415,R415,23,3
416,R416,19,77
417,R417,6,10
418,R418,58,8
419,R419,73,46
420,R420,91,27
421,R421,5,17
422,R422,7,15
423,R423,14,44
424,R424,55,82
425,R425,80,30
426,R426,63,13
427,R427,98,14
428,R428,99,26
429,R429,22,4
430,R430,63,60
431,R431,77,68
432,R432,93,53
433,R433,67,80
434,R434,12,30
435,R435,15,55
436,R436,33,41
437,R437,66,30
438,R438,36,31
439,R439,74,41
440,R440,1,99
441,R441,2,56
442,R442,93,82
443,R443,100,51
444,R444,60,40
445,R445,82,52
446,R446,84,67
447,R447,29,71
448,R448,18,100
449,R449,79,80
450,R450,19,51
451,R451,85,82
452,R452,29,22
453,R453,90,77
454,R454,73,90
455,R455,9,74
456,R456,44,88
457,R457,5,67
458,R458,57,87
459,R459,46,2
460,R460,51,29
461,R461,64,82
462,R462,9,54
463,R463,77,53
464,R464,70,97
465,R465,8,87
466,R466,74,59
467,R467,90,11
468,R468,88,64
469,R469,93,18
470,R470,46,68
471,R471,26,57
472,R472,52,50
473,R473,41,74
474,R474,72,3
475,R475,25,25
476,R476,59,50
477,R477,16,86
478,R478,87,95
479,R479,74,70
480,R480,26,6
481,R481,87,36
482,R482,62,51
483,R483,49,30
484,R484,70,72
485,R485,13,73
486,R486,25,74
487,R487,44,21
488,R488,10,97
489,R489,71,99
490,R490,100,2
491,R491,56,98
492,R492,1,71
493,R493,80,43
494,R494,39,85
495,R495,58,30
496,R496,10,81
497,R497,99,82
498,R498,68,91
499,R499,42,5
500,R500,43,8
501,R501,82,38
502,R502,43,77
503,R503,49,76
504,R504,38,70
505,R505,27,30
506,R506,23,45
507,R507,22,67
508,R508,100,50
509,R509,25,99
510,R510,12,12
511,R511,54,60
512,R512,17,55
513,R513,43,10
514,R514,29,33
515,R515,49,26
516,R516,33,91
517,R517,64,51
518,R518,31,20
519,R519,47,91
520,R520,99,63
521,R521,67,52
522,R522,87,58
523,R523,92,68
524,R524,11,2
525,R525,71,16
526,R526,54,94
527,R527,25,27
528,R528,98,44
529,R529,73,45
530,R530,33,87
531,R531,17,78
532,R532,66,97
533,R533,57,14
534,R534,76,86
535,R535,26,9
536,R536,54,80
537,R537,43,39
538,R538,94,78
539,R539,37,70
540,R540,35,61
541,R541,77,65
542,R542,56,28
543,R543,18,51
544,R544,99,85
545,R545,35,32
546,R546,12,35
547,R547,13,36
548,R548,60,54
549,R549,42,82
550,R550,4,82
551,R551,67,26
552,R552,3,45
553,R553,36,1
554,R554,92,66
555,R555,97,44
556,R556,7,100
557,R557,43,43
558,R558,18,28
559,R559,29,77
560,R560,91,22
561,R561,60,22
562,R562,4,91
563,R563,80,10
564,R564,99,99
565,R565,31,62
566,R566,40,1
567,R567,2,23
568,R568,31,81
569,R569,63,18
570,R570,77,28
571,R571,75,97
572,R572,37,97
573,R573,79,100
574,R574,78,24
575,R575,65,41
576,R576,92,25
577,R577,65,57
578,R578,14,10
579,R579,37,12
580,R580,24,75
581,R581,41,43
582,R582,32,20
583,R583,5,48
584,R584,75,64
585,R585,26,79
586,R586,39,68
587,R587,10,23
588,R588,9,22
589,R589,78,57
590,R590,76,98
591,R591,17,5
592,R592,22,70
593,R593,70,81
594,R594,18,43
595,R595,41,24
596,R596,66,56
597,R597,81,93
598,R598,13,61
599,R599,21,34
600,R600,51,88
601,R601,94,2
602,R602,22,92
603,R603,50,76
604,R604,44,2
605,R605,59,73
606,R606,23,31
607,R607,32,98
608,R608,55,47
609,R609,75,12
610,R610,17,52
611,R611,96,81
612,R612,47,85
613,R613,89,73
614,R614,9,23
615,R615,51,27
616,R616,78,77
617,R617,39,32
618,R618,20,7
619,R619,57,64
620,R620,76,38
621,R621,5,47
622,R622,44,42
623,R623,83,4
624,R624,23,64
625,R625,13,26
626,R626,76,11
627,R627,63,95
628,R628,55,30
629,R629,88,69
630,R630,39,66
631,R631,20,26
632,R632,2,46
633,R633,96,22
634,R634,51,57
635,R635,52,15
636,R636,18,71
637,R637,4,44
638,R638,14,15
639,R639,4,78
640,R640,70,94
641,R641,22,12
642,R642,57,42
643,R643,52,59
644,R644,1,96
645,R645,81,41
646,R646,59,65
647,R647,29,23
648,R648,79,28
649,R649,30,62
650,R650,11,74
651,R651,21,31
652,R652,83,35
653,R653,82,39
654,R654,41,87
655,R655,26,51
656,R656,35,52
657,R657,78,45
658,R658,80,17
659,R659,25,99
660,R660,67,84
661,R661,73,91
662,R662,44,91
663,R663,89,26
664,R664,12,71
665,R665,44,41
666,R666,59,65
667,R667,20,44
668,R668,48,47
669,R669,42,58
670,R670,38,62
671,R671,6,25
672,R672,4,58
673,R673,36,75
674,R674,81,94
675,R675,61,47
676,R676,51,82
677,R677,41,83
678,R678,50,32
679,R679,2,34
680,R680,94,64
681,R681,39,93
682,R682,56,28
683,R683,41,40
684,R684,79,67
685,R685,27,66
686,R686,10,29
687,R687,57,74
688,R688,41,82
689,R689,67,60
690,R690,62,35
691,R691,5,6
692,R692,41,16
693,R693,41,68
694,R694,99,50
695,R695,11,35
696,R696,16,87
697,R697,92,69
698,R698,85,93
699,R699,67,43
700,R700,22,100
701,R701,74,41
702,R702,58,53
703,R703,40,73
704,R704,100,85
705,R705,4,89
706,R706,80,26
707,R707,33,52
708,R708,85,14
709,R709,77,73
710,R710,37,14
711,R711,82,36
712,R712,26,55
713,R713,7,97
714,R714,35,36
715,R715,71,60
716,R716,79,67
717,R717,11,81
718,R718,88,87
719,R719,9,31
720,R720,81,28
721,R721,8,23
722,R722,20,95
723,R723,77,21
724,R724,49,84
725,R725,53,39
726,R726,17,22
727,R727,70,89
728,R728,35,13
729,R729,36,27
730,R730,20,34
731,R731,23,9
732,R732,57,20
733,R733,33,68
734,R734,47,35
735,R735,23,92
736,R736,93,26
737,R737,10,89
738,R738,75,5
739,R739,76,96
740,R740,23,75
741,R741,25,89
742,R742,10,26
743,R743,32,38
744,R744,82,67
745,R745,86,64
746,R746,18,72
747,R747,11,76
748,R748,93,17
749,R749,90,93
750,R750,85,91
751,R751,93,63
752,R752,2,48
753,R753,29,8
754,R754,83,76
755,R755,65,66
756,R756,10,94
757,R757,85,79
758,R758,95,55
759,R759,29,11
760,R760,15,79
761,R761,56,60
762,R762,26,19
763,R763,31,31
764,R764,57,94
765,R765,66,30
766,R766,45,66
767,R767,33,31
768,R768,76,35
769,R769,81,16
770,R770,99,64
771,R771,79,9
772,R772,42,83
773,R773,48,88
774,R774,92,94
775,R775,65,91
776,R776,43,75
777,R777,88,94
778,R778,57,25
779,R779,80,21
780,R780,11,33
781,R781,2,48
782,R782,22,25
783,R783,61,39
784,R784,65,11
785,R785,9,48
