id,label,Elevation,Aspect,Slope
1,R1,1,36,29
2,R2,16,20,24
3,R3,91,49,8
4,R4,40,14,14
5,R5,86,63,36
6,R6,21,16,36
7,R7,69,33,98
8,R8,52,12,83
9,R9,32,40,2
10,R10,55,21,23
11,R11,6,69,27
12,R12,19,88,43
13,R13,91,9,49
14,R14,44,83,52
15,R15,33,71,98
16,R16,37,67,72
17,R17,96,3,77
18,R18,38,8,100
19,R19,6,91,81
20,R20,13,31,70
21,R21,48,78,6
22,R22,72,10,22
23,R23,27,37,96
24,R24,9,5,23
25,R25,36,28,57
26,R26,8,69,14
27,R27,93,37,44
28,R28,53,73,43
29,R29,10,18,1
30,R30,72,55,75
31,R31,77,82,80
32,R32,74,80,33
33,R33,100,59,65
34,R34,78,29,98
35,R35,77,71,69
36,R36,12,88,34
37,R37,94,91,6
38,R38,22,32,8
39,R39,11,64,10
40,R40,32,76,18
41,R41,1,18,30
42,R42,21,70,56
43,R43,7,1,2
44,R44,71,50,36
45,R45,5,79,32
46,R46,26,38,68
47,R47,52,82,32
48,R48,3,79,15
49,R49,92,2,76
50,R50,98,73,7
51,R51,28,96,39
52,R52,27,76,13
53,R53,62,33,71
54,R54,14,49,83
55,R55,10,52,70
56,R56,8,3,25
57,R57,98,3,52
58,R58,38,15,75
59,R59,27,1,20
60,R60,63,89,45
61,R61,78,10,93
62,R62,95,21,6
63,R63,77,51,6
64,R64,73,19,97
65,R65,47,68,85
66,R66,97,17,76
67,R67,19,82,69
68,R68,51,10,44
69,R69,9,71,91
70,R70,7,43,84
71,R71,90,7,93
72,R72,20,81,23
73,R73,4,13,46
74,R74,5,6,5
75,R75,65,36,3
76,R76,64,90,36
77,R77,17,62,29
78,R78,99,40,89
79,R79,56,29,80
80,R80,78,92,10
81,R81,54,64,43
82,R82,81,97,40
83,R83,80,5,10
84,R84,45,13,95
85,R85,72,12,54
86,R86,9,88,11
87,R87,38,62,12
88,R88,16,21,72
89,R89,98,83,49
90,R90,100,80,92
91,R91,86,13,34
92,R92,100,98,81
93,R93,5,93,50
94,R94,100,72,33
95,R95,41,85,7
96,R96,47,46,56
97,R97,65,77,56
98,R98,6,86,42
99,R99,57,82,33
100,R100,36,84,79
101,R101,72,33,50
102,R102,38,32,5
103,R103,34,63,23
104,R104,67,74,70
105,R105,96,41,9
106,R106,71,79,24
107,R107,31,37,15
108,R108,54,56,9
109,R109,36,13,60
110,R110,76,14,44
111,R111,80,14,95
112,R112,5,28,30
113,R113,96,26,89
114,R114,71,94,53
115,R115,4,79,74
116,R116,16,74,5
117,R117,87,97,39
118,R118,15,86,26
119,R119,88,60,81
120,R120,76,36,89
121,R121,39,8,81
122,R122,48,88,68
123,R123,45,51,38
124,R124,40,94,22
125,R125,36,6,18
126,R126,36,86,60
127,R127,94,84,67
128,R128,47,58,51
129,R129,52,66,88
130,R130,89,65,19
131,R131,90,40,61
132,R132,71,52,45
133,R133,35,35,4
134,R134,84,18,4
135,R135,49,72,55
136,R136,69,87,52
137,R137,42,2,8
138,R138,37,87,43
139,R139,85,24,49
140,R140,23,38,75
141,R141,68,35,34
142,R142,4,82,19
143,R143,3,85,24
144,R144,78,93,59
145,R145,51,70,20
146,R146,88,62,77
147,R147,40,43,96
148,R148,5,65,17
149,R149,21,63,89
150,R150,90,18,64
151,R151,5,15,83
152,R152,35,95,41
153,R153,23,87,52
154,R154,29,28,99
155,R155,1,23,65
156,R156,57,92,16
157,R157,92,32,93
158,R158,57,82,79
159,R159,42,99,88
160,R160,6,85,52
161,R161,6,26,15
162,R162,23,13,21
163,R163,41,69,31
164,R164,88,16,46
165,R165,14,13,89
166,R166,100,53,67
167,R167,96,91,84
168,R168,92,35,79
169,R169,35,65,16
170,R170,76,100,74
171,R171,68,22,53
172,R172,26,31,51
173,R173,78,1,78
