id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology
1,R1,96,74,58,49,28
2,R2,51,6,74,74,78
3,R3,48,33,88,10,36
4,R4,97,21,51,13,79
5,R5,13,94,44,12,19
6,R6,93,85,71,76,31
7,R7,57,84,67,44,69
8,R8,99,26,35,77,92
9,R9,11,54,51,40,10
10,R10,82,11,21,98,86
11,R11,30,85,39,4,27
12,R12,92,51,43,14,87
13,R13,8,6,45,88,17
14,R14,24,81,59,26,50
15,R15,76,23,15,33,92
16,R16,100,54,96,47,95
17,R17,49,12,50,58,98
18,R18,85,92,46,70,48
19,R19,89,64,99,4,1
20,R20,51,26,57,26,2
21,R21,47,3,4,63,87
22,R22,41,35,41,96,29
23,R23,44,77,48,39,5
24,R24,8,7,3,66,41
25,R25,99,69,21,21,83
26,R26,88,9,97,56,66
27,R27,92,8,21,75,22
28,R28,66,31,85,18,14
29,R29,62,45,97,79,80
30,R30,77,72,2,21,47
31,R31,70,53,59,53,78
32,R32,29,98,37,99,20
33,R33,90,18,38,89,5
34,R34,31,49,75,48,59
35,R35,16,15,73,31,36
36,R36,29,56,89,81,41
37,R37,76,80,96,65,68
38,R38,75,29,16,31,38
39,R39,41,9,10,1,98
40,R40,57,91,20,71,3
41,R41,91,7,98,24,66
42,R42,22,75,83,98,90
43,R43,88,48,73,37,98
44,R44,17,39,60,36,89
45,R45,99,15,72,4,45
46,R46,83,22,80,58,68
47,R47,86,22,9,24,41
48,R48,4,39,7,21,93
49,R49,14,46,54,71,57
50,R50,86,34,56,61,37
51,R51,11,6,88,54,48
52,R52,49,92,50,11,20
53,R53,41,89,65,55,63
54,R54,66,93,58,31,59
55,R55,96,34,87,49,56
56,R56,53,37,62,74,18
57,R57,71,18,25,25,36
58,R58,64,2,86,78,71
59,R59,85,73,85,58,6
60,R60,14,79,13,60,57
61,R61,3,65,53,49,20
62,R62,53,46,57,66,3
63,R63,44,42,65,78,53
64,R64,63,33,100,68,56
65,R65,57,17,32,2,26
66,R66,6,90,54,68,20
67,R67,45,96,99,94,10
68,R68,78,67,54,13,48
69,R69,42,19,62,46,77
70,R70,23,7,72,26,1
71,R71,58,37,68,2,17
72,R72,66,46,20,68,9
73,R73,28,51,74,82,55
74,R74,90,33,39,86,13
