id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology
1,R1,77,27,91,33,45
2,R2,84,94,93,76,39
3,R3,37,28,85,26,7
4,R4,14,65,75,62,4
5,R5,26,3,2,86,87
6,R6,19,8,92,86,93
7,R7,3,12,100,35,98
8,R8,53,91,72,79,73
9,R9,73,66,22,31,22
10,R10,72,9,20,21,99
11,R11,42,51,67,8,67
12,R12,49,71,83,17,98
13,R13,59,5,83,61,57
14,R14,61,33,56,23,47
15,R15,34,55,80,74,20
16,R16,38,4,14,1,92
17,R17,56,85,18,58,72
18,R18,98,63,25,3,71
19,R19,6,43,45,5,76
20,R20,64,12,65,29,85
21,R21,28,54,76,57,77
22,R22,23,33,42,57,37
23,R23,94,86,62,69,3
24,R24,25,17,98,57,51
25,R25,90,29,71,81,1
26,R26,59,77,63,42,32
27,R27,52,48,12,2,31
28,R28,14,30,28,89,97
29,R29,1,96,64,52,54
30,R30,82,47,38,80,90
31,R31,29,43,28,31,100
32,R32,3,63,50,40,80
33,R33,72,76,22,61,98
34,R34,90,28,20,3,67
35,R35,6,50,99,3,32
36,R36,9,89,88,49,67
37,R37,13,100,44,41,36
38,R38,74,47,77,27,27
39,R39,43,61,47,36,93
40,R40,75,82,27,96,52
41,R41,8,75,31,51,29
42,R42,77,58,94,5,11
43,R43,5,35,34,67,78
44,R44,28,23,76,68,27
45,R45,6,47,63,10,77
46,R46,83,84,27,85,67
47,R47,16,45,99,48,24
48,R48,80,70,77,82,94
49,R49,7,76,47,44,16
50,R50,34,96,51,87,58
51,R51,55,16,23,53,4
52,R52,1,1,52,18,97
53,R53,44,15,7,72,73
54,R54,97,1,52,71,59
55,R55,49,64,20,31,55
56,R56,63,42,58,93,21
57,R57,86,27,74,14,7
58,R58,12,17,25,25,68
59,R59,83,50,93,9,86
60,R60,98,66,42,67,99
61,R61,91,50,61,73,12
62,R62,19,54,62,70,95
63,R63,62,1,57,47,36
64,R64,5,8,85,64,68
65,R65,55,40,22,2,78
66,R66,16,16,89,26,83
67,R67,98,51,63,52,3
68,R68,81,34,23,27,17
69,R69,80,10,72,98,77
70,R70,83,57,28,69,57
71,R71,73,52,83,68,97
72,R72,96,38,68,100,3
73,R73,77,57,67,45,83
74,R74,93,75,77,6,20
75,R75,56,47,84,87,63
76,R76,82,33,46,93,19
77,R77,91,68,74,78,17
78,R78,69,89,79,85,49
79,R79,53,19,39,47,50
80,R80,58,81,96,45,15
81,R81,14,76,83,33,25
82,R82,97,20,68,37,95
83,R83,57,40,32,69,76
84,R84,9,20,77,73,64
85,R85,89,19,22,83,78
86,R86,96,33,44,1,77
87,R87,73,30,1,68,30
88,R88,27,88,52,44,91
89,R89,95,99,63,75,87
90,R90,47,66,91,14,84
91,R91,96,69,76,75,14
92,R92,23,3,60,52,57
93,R93,95,27,22,26,60
94,R94,84,37,46,73,5
95,R95,93,5,82,42,63
96,R96,92,13,72,70,80
97,R97,56,46,5,27,58
98,R98,38,84,45,5,96
99,R99,21,63,67,97,84
100,R100,100,12,69,36,94
101,R101,94,7,78,45,41
102,R102,39,74,60,14,9
103,R103,74,13,76,6,73
104,R104,96,17,1,45,6
105,R105,76,57,5,12,32
106,R106,54,10,9,24,25
107,R107,81,45,37,82,39
108,R108,75,100,62,60,35
109,R109,67,90,51,57,26
110,R110,51,96,18,98,27
111,R111,49,49,97,83,7
112,R112,92,49,19,24,78
113,R113,57,50,15,16,36
114,R114,15,47,12,37,41
115,R115,55,67,8,27,8
116,R116,54,66,73,85,84
117,R117,81,71,53,32,8
118,R118,93,99,100,47,47
119,R119,28,53,13,80,50
120,R120,87,38,3,21,63
121,R121,54,51,19,28,36
122,R122,23,55,56,96,76
123,R123,22,23,8,29,90
124,R124,82,49,82,21,81
125,R125,47,85,13,43,54
126,R126,45,70,85,75,99
127,R127,89,23,61,80,67
128,R128,57,82,53,29,70
129,R129,37,18,74,64,52
130,R130,85,87,39,68,7
131,R131,90,42,56,95,18
132,R132,71,5,8,4,61
133,R133,91,59,77,40,36
134,R134,58,1,50,23,38
135,R135,53,45,32,14,2
136,R136,96,60,48,83,21
137,R137,97,67,61,6,53
138,R138,13,26,18,60,27
139,R139,80,52,41,62,92
140,R140,1,31,92,60,74
141,R141,99,59,44,93,28
142,R142,8,46,82,4,35
143,R143,49,80,46,73,99
144,R144,29,25,27,76,75
145,R145,75,47,6,75,43
146,R146,60,31,1,54,75
147,R147,74,91,83,43,52
148,R148,27,17,64,95,92
149,R149,36,31,50,81,94
150,R150,43,6,46,84,13
151,R151,97,82,53,8,73
152,R152,22,32,69,100,42
153,R153,19,98,47,83,33
154,R154,64,92,59,66,55
155,R155,43,90,43,75,40
156,R156,27,55,46,22,12
157,R157,80,56,34,58,50
158,R158,3,86,98,8,82
159,R159,2,7,77,77,31
160,R160,82,76,3,23,78
161,R161,30,36,71,96,64
162,R162,50,98,50,77,4
163,R163,3,73,94,82,52
164,R164,22,24,8,37,69
165,R165,8,26,17,27,41
166,R166,45,56,83,60,96
167,R167,91,75,51,14,92
168,R168,49,3,56,67,19
169,R169,1,16,94,72,56
170,R170,54,58,50,23,47
171,R171,15,41,68,32,81
172,R172,57,5,11,76,67
173,R173,44,58,1,52,71
174,R174,30,54,46,86,89
175,R175,79,95,56,57,5
176,R176,97,84,5,47,27
177,R177,11,78,84,44,64
178,R178,56,6,80,49,38
179,R179,96,29,94,52,68
180,R180,29,17,97,31,12
181,R181,15,64,96,32,9
182,R182,77,38,61,41,4
183,R183,97,28,65,12,100
184,R184,98,71,61,6,20
185,R185,59,93,70,97,90
186,R186,6,9,85,50,20
187,R187,46,67,93,96,49
188,R188,1,42,67,93,79
189,R189,67,37,39,1,28
190,R190,96,49,21,53,50
191,R191,48,24,36,19,25
192,R192,92,19,24,98,47
193,R193,15,48,1,91,74
194,R194,89,31,48,26,55
195,R195,18,63,15,89,45
196,R196,4,36,51,59,1
197,R197,57,59,7,8,83
198,R198,36,85,46,37,33
199,R199,52,90,60,8,96
200,R200,47,95,33,84,17
201,R201,99,79,78,75,85
202,R202,88,67,23,73,29
203,R203,16,96,80,93,92
204,R204,60,53,9,93,45
205,R205,31,6,81,13,1
206,R206,69,18,98,37,44
207,R207,56,77,57,25,63
208,R208,60,50,18,5,85
209,R209,67,18,51,71,22
210,R210,73,2,20,37,76
211,R211,48,74,74,14,19
212,R212,9,35,62,81,93
213,R213,47,89,18,61,7
214,R214,66,14,58,22,10
215,R215,68,56,23,75,25
216,R216,63,80,72,50,67
217,R217,95,97,1,92,33
218,R218,33,23,67,60,99
219,R219,37,73,36,40,79
220,R220,93,44,32,32,58
221,R221,93,37,95,80,39
222,R222,30,42,42,56,86
223,R223,90,21,33,93,65
224,R224,5,52,24,41,53
225,R225,66,22,81,91,11
226,R226,16,97,18,18,47
227,R227,21,27,34,35,34
228,R228,73,17,8,98,64
229,R229,80,90,16,85,56
230,R230,15,76,32,67,44
231,R231,66,28,49,27,78
232,R232,37,92,74,73,31
233,R233,31,61,18,85,62
234,R234,95,98,38,11,56
235,R235,3,71,70,89,90
236,R236,16,48,80,75,82
237,R237,88,96,9,87,26
238,R238,6,10,5,78,91
239,R239,66,10,99,9,50
240,R240,12,58,5,7,60
241,R241,19,77,49,98,74
242,R242,17,37,5,58,87
243,R243,13,34,90,25,93
244,R244,77,69,19,68,34
245,R245,66,63,39,82,75
246,R246,96,65,61,32,69
247,R247,80,32,27,68,17
248,R248,92,6,91,18,93
249,R249,88,40,11,1,25
250,R250,14,11,87,71,19
251,R251,92,62,58,20,47
252,R252,89,25,27,91,90
253,R253,49,18,26,92,27
254,R254,80,17,83,78,16
255,R255,43,88,96,20,1
256,R256,76,68,76,81,88
257,R257,30,71,3,31,43
258,R258,75,54,54,47,14
259,R259,24,51,62,8,82
260,R260,75,14,72,20,91
261,R261,92,94,6,21,5
262,R262,94,35,30,37,57
263,R263,61,36,60,98,77
264,R264,8,86,94,26,40
265,R265,52,40,48,10,77
266,R266,30,52,80,2,50
267,R267,39,74,69,65,17
268,R268,79,51,76,13,21
269,R269,99,7,75,86,39
270,R270,74,55,44,53,71
271,R271,70,89,99,89,100
272,R272,82,45,30,84,75
273,R273,98,74,57,31,7
274,R274,14,2,1,58,77
275,R275,38,17,80,88,96
276,R276,74,76,2,91,30
277,R277,69,6,57,12,86
278,R278,64,30,90,15,28
279,R279,21,17,72,68,50
280,R280,20,7,84,62,77
281,R281,57,18,55,35,4
282,R282,82,74,84,29,82
283,R283,64,55,83,87,27
284,R284,71,58,33,74,50
285,R285,50,52,42,51,54
286,R286,72,97,22,62,1
287,R287,100,5,60,99,99
288,R288,24,97,38,49,51
289,R289,31,15,48,61,63
