id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am
1,R1,80,30,84,6,2,62,16
2,R2,67,100,3,6,78,10,6
3,R3,49,92,61,89,30,8,33
4,R4,20,98,90,50,100,42,52
5,R5,74,68,82,51,31,74,60
6,R6,40,70,58,74,28,61,32
7,R7,82,73,58,52,70,85,47
8,R8,50,27,41,81,96,71,68
9,R9,75,61,42,38,87,92,13
10,R10,92,43,39,75,93,82,3
11,R11,17,52,99,4,77,20,25
12,R12,10,61,42,11,19,68,3
13,R13,18,44,1,80,87,91,28
14,R14,65,40,88,65,82,35,61
15,R15,81,82,17,61,55,43,24
16,R16,20,87,86,2,11,42,21
17,R17,19,13,90,27,9,99,94
18,R18,67,74,40,57,30,91,13
19,R19,64,45,35,36,70,28,58
20,R20,86,95,96,70,92,60,61
21,R21,57,9,82,17,51,45,86
22,R22,56,44,78,53,26,24,92
23,R23,51,70,15,81,39,84,33
24,R24,78,2,100,47,77,81,34
25,R25,53,99,41,48,10,12,17
26,R26,51,63,97,13,26,49,92
27,R27,40,12,45,20,19,34,16
28,R28,85,72,40,29,60,40,80
29,R29,65,74,46,4,21,14,69
30,R30,98,96,42,47,50,34,94
31,R31,62,39,14,19,79,28,10
32,R32,61,73,54,39,94,75,55
33,R33,48,100,28,99,33,44,37
34,R34,45,27,44,79,77,49,70
35,R35,12,31,47,25,9,59,25
36,R36,72,100,82,42,23,7,84
37,R37,2,98,60,56,73,46,49
38,R38,65,28,47,54,52,20,82
39,R39,58,40,50,8,67,98,45
40,R40,75,73,15,13,12,46,34
41,R41,30,17,38,5,95,75,36
42,R42,21,67,16,50,22,89,77
43,R43,51,91,60,40,72,25,90
44,R44,25,70,2,18,74,8,69
45,R45,55,15,67,81,86,68,54
46,R46,96,5,92,16,14,23,68
47,R47,33,50,98,47,32,91,12
48,R48,4,84,89,84,69,52,89
49,R49,74,43,54,23,75,97,21
50,R50,56,53,77,77,74,7,76
51,R51,49,83,17,83,15,27,27
52,R52,13,5,97,22,13,62,70
53,R53,34,69,9,81,32,21,8
54,R54,8,66,50,29,58,11,18
55,R55,88,94,96,65,3,81,64
56,R56,52,11,48,76,80,31,6
57,R57,53,60,19,93,88,73,98
58,R58,38,21,5,4,26,94,33
59,R59,51,62,63,6,22,28,21
60,R60,59,54,15,67,93,16,39
61,R61,53,90,88,54,81,97,48
62,R62,100,6,21,71,2,83,57
63,R63,67,21,73,58,21,38,67
64,R64,89,93,36,56,88,40,52
65,R65,60,99,12,8,99,64,1
66,R66,35,9,63,55,99,7,55
67,R67,89,21,25,70,27,15,45
68,R68,14,88,38,12,9,92,76
69,R69,55,75,30,44,90,21,78
70,R70,23,82,96,19,42,81,66
71,R71,99,32,2,46,66,40,74
72,R72,74,40,95,89,44,4,88
73,R73,83,42,7,69,79,99,85
74,R74,96,71,38,62,82,6,29
75,R75,53,37,76,9,46,50,99
76,R76,74,24,55,51,69,81,24
77,R77,97,13,21,68,57,59,81
78,R78,22,42,65,6,26,78,42
79,R79,14,25,21,10,16,100,99
80,R80,62,8,41,12,35,60,68
81,R81,30,21,53,56,81,89,27
82,R82,62,43,65,39,86,18,94
83,R83,80,78,63,65,20,43,87
84,R84,57,37,46,60,33,94,38
85,R85,81,36,6,71,100,2,48
86,R86,91,86,64,39,61,18,9
87,R87,4,39,67,19,40,92,72
88,R88,27,99,67,56,52,73,8
89,R89,94,15,53,19,43,12,4
90,R90,32,18,92,11,45,43,52
91,R91,18,64,19,47,10,66,70
92,R92,86,49,57,14,30,61,84
93,R93,56,64,84,72,81,2,4
94,R94,12,4,10,64,55,28,65
95,R95,74,1,87,40,96,77,53
96,R96,26,26,100,11,98,81,34
97,R97,90,1,9,88,5,3,64
98,R98,79,69,39,38,74,37,80
99,R99,23,43,42,67,16,55,82
100,R100,70,75,20,31,8,73,58
101,R101,92,78,48,28,79,72,59
102,R102,9,74,21,4,58,5,12
103,R103,15,13,14,37,99,11,81
104,R104,81,31,99,75,93,39,85
105,R105,96,16,86,48,11,45,68
106,R106,88,43,54,90,80,12,75
107,R107,38,87,65,71,60,38,28
108,R108,48,83,66,96,19,37,45
109,R109,42,50,83,81,5,70,41
110,R110,96,31,61,35,71,47,41
111,R111,2,42,28,61,63,2,3
112,R112,28,66,72,25,58,90,73
113,R113,61,23,30,41,53,85,31
114,R114,11,30,90,54,18,19,24
115,R115,5,51,18,42,99,27,17
116,R116,57,72,96,10,72,83,11
117,R117,47,75,66,22,76,94,79
118,R118,98,36,10,4,92,56,81
119,R119,99,58,51,46,97,97,79
120,R120,10,23,66,70,92,9,1
121,R121,69,35,47,71,55,38,73
122,R122,52,68,85,47,22,84,42
123,R123,83,93,100,45,65,32,29
124,R124,67,58,80,92,6,10,3
125,R125,42,25,94,38,41,45,22
126,R126,92,86,43,56,29,8,13
127,R127,64,37,78,66,93,88,94
128,R128,12,29,4,43,38,53,48
129,R129,19,14,30,37,91,81,36
130,R130,74,44,48,20,1,88,69
131,R131,17,98,4,78,21,13,18
132,R132,99,44,24,52,69,72,57
133,R133,65,16,69,50,8,37,70
134,R134,74,96,56,1,16,7,60
135,R135,87,67,15,11,73,65,59
136,R136,41,58,10,85,89,28,97
137,R137,38,30,19,49,39,46,25
138,R138,87,63,94,80,100,96,38
139,R139,97,67,44,28,75,68,51
140,R140,42,78,13,1,96,30,57
141,R141,95,9,41,90,6,76,48
142,R142,10,30,41,76,25,65,91
143,R143,9,16,87,6,67,97,16
144,R144,44,52,37,12,30,18,61
145,R145,30,88,93,30,10,51,89
146,R146,22,77,14,66,54,75,61
147,R147,16,1,48,19,57,63,56
148,R148,21,92,49,57,27,69,80
149,R149,87,61,41,87,48,82,80
150,R150,70,63,87,14,71,96,57
151,R151,3,92,36,51,66,83,39
152,R152,2,74,89,10,71,93,15
153,R153,76,51,74,94,59,83,63
154,R154,5,14,96,50,74,94,89
155,R155,62,62,5,34,55,86,46
156,R156,3,64,73,4,77,72,8
157,R157,98,80,15,31,24,46,32
158,R158,8,85,12,49,89,58,53
159,R159,89,11,80,13,5,31,57
160,R160,93,41,55,49,84,57,99
161,R161,9,78,96,73,15,11,36
162,R162,60,5,62,69,38,50,12
163,R163,99,9,93,99,63,43,38
164,R164,97,4,44,37,32,74,31
165,R165,3,56,25,50,10,71,100
166,R166,75,70,67,12,86,29,53
167,R167,10,67,80,76,43,51,10
168,R168,3,18,74,24,16,52,71
169,R169,84,5,18,51,47,42,80
170,R170,79,67,40,23,95,37,29
171,R171,85,72,67,13,46,82,61
172,R172,25,18,33,95,34,3,57
173,R173,28,67,95,8,88,57,6
174,R174,65,32,27,55,45,58,6
175,R175,16,29,52,87,15,66,43
176,R176,68,89,85,20,30,33,64
177,R177,70,56,27,40,73,91,81
178,R178,32,1,4,62,51,87,12
179,R179,54,64,37,36,50,78,20
180,R180,26,92,74,38,39,83,67
181,R181,42,45,66,11,89,7,99
182,R182,46,49,57,67,66,38,13
183,R183,24,24,79,96,30,30,5
184,R184,90,39,9,99,54,23,57
185,R185,58,31,54,74,28,31,49
186,R186,52,94,92,48,42,68,99
187,R187,56,39,80,30,91,23,41
188,R188,76,38,56,15,31,91,35
189,R189,35,89,29,19,10,95,42
190,R190,40,11,36,59,24,52,12
191,R191,35,13,13,82,39,24,69
192,R192,44,38,15,19,64,91,35
193,R193,11,18,96,11,60,6,63
194,R194,41,39,16,96,46,30,54
195,R195,77,29,36,50,14,18,77
196,R196,60,57,45,87,23,5,39
197,R197,55,87,23,64,25,24,13
198,R198,61,4,42,26,46,66,86
199,R199,50,96,14,32,60,40,32
200,R200,87,59,32,34,78,28,76
201,R201,93,96,69,38,68,10,90
202,R202,45,32,72,65,31,59,30
203,R203,60,63,40,57,12,36,21
204,R204,16,78,49,82,12,98,56
205,R205,71,73,75,90,52,100,73
206,R206,76,21,8,63,50,43,68
207,R207,24,32,64,16,90,51,20
208,R208,37,71,7,47,62,93,71
209,R209,62,8,63,97,29,74,25
210,R210,66,94,82,61,34,62,49
211,R211,71,33,68,21,4,16,69
212,R212,4,58,21,22,42,99,14
213,R213,97,46,57,74,69,70,92
214,R214,51,22,66,7,18,20,31
215,R215,44,3,39,57,36,39,71
216,R216,5,11,39,28,13,17,67
217,R217,41,73,22,88,76,13,44
218,R218,65,78,17,83,94,14,55
219,R219,100,2,62,48,26,34,60
220,R220,32,27,77,20,85,80,72
221,R221,1,55,84,97,10,6,14
222,R222,81,2,90,53,57,49,71
223,R223,17,33,32,40,41,31,77
224,R224,28,58,11,70,63,79,15
225,R225,84,40,3,83,89,30,27
226,R226,63,33,20,45,61,34,17
227,R227,48,93,72,73,33,51,11
228,R228,21,37,66,19,54,17,76
229,R229,43,8,30,60,3,96,70
230,R230,39,77,95,54,55,60,34
231,R231,42,50,95,8,5,78,28
232,R232,5,96,40,76,47,94,42
233,R233,80,32,88,81,37,14,99
234,R234,71,70,89,63,50,9,54
235,R235,38,45,4,68,67,59,27
236,R236,66,26,7,33,53,58,4
237,R237,96,82,15,8,48,63,88
238,R238,62,71,97,16,4,82,15
239,R239,38,76,36,10,72,94,51
240,R240,96,77,17,77,98,91,34
241,R241,72,76,75,31,80,98,83
242,R242,87,84,81,12,78,90,37
243,R243,74,56,35,95,75,66,64
244,R244,55,65,2,18,77,4,35
245,R245,69,5,51,6,60,10,63
246,R246,43,77,100,74,44,86,1
247,R247,90,4,22,9,92,33,54
248,R248,81,64,86,70,6,53,22
249,R249,22,50,17,94,8,98,42
250,R250,3,37,16,16,33,53,53
251,R251,45,69,76,16,56,81,95
252,R252,39,5,28,16,96,67,70
253,R253,81,28,24,60,5,84,29
254,R254,51,36,19,15,69,3,32
255,R255,22,18,72,24,28,52,84
256,R256,57,79,94,27,75,8,62
257,R257,93,10,65,25,29,66,40
258,R258,75,35,31,69,16,96,37
259,R259,23,12,82,98,53,32,69
260,R260,73,56,43,1,41,12,78
261,R261,19,97,96,12,29,33,85
262,R262,50,10,91,4,66,12,22
263,R263,60,40,15,69,18,22,41
264,R264,26,52,92,46,47,44,63
265,R265,63,26,54,25,57,76,19
266,R266,91,88,59,9,26,98,27
