id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points
1,R1,24,65,26,24,97,30,37,57,45,28
2,R2,77,14,6,8,32,8,10,19,5,94
3,R3,72,25,26,93,88,70,18,55,44,89
4,R4,45,59,32,20,99,45,63,69,43,76
5,R5,90,86,74,11,4,64,76,37,2,53
6,R6,22,84,87,89,29,84,48,93,82,30
7,R7,45,74,74,88,58,67,90,44,78,22
8,R8,90,95,92,13,79,63,98,80,18,70
9,R9,74,33,8,7,44,8,59,42,1,20
10,R10,25,94,99,92,95,60,40,83,54,72
11,R11,29,33,36,72,78,52,13,17,49,32
12,R12,61,14,53,79,41,24,19,67,29,51
13,R13,85,35,73,42,44,7,29,88,19,15
14,R14,30,21,49,66,58,46,19,18,75,57
15,R15,46,43,52,36,55,63,100,70,13,60
16,R16,67,14,9,29,62,89,62,49,75,69
17,R17,5,8,64,95,29,38,74,22,5,3
18,R18,79,63,98,65,98,62,69,89,23,65
19,R19,88,89,84,26,64,9,82,43,89,17
20,R20,79,41,57,30,77,88,19,57,85,83
21,R21,30,20,98,17,56,42,53,26,33,5
22,R22,52,15,73,6,49,1,92,8,76,92
23,R23,90,28,99,10,70,56,72,100,37,34
24,R24,92,71,49,100,64,31,22,60,46,65
25,R25,14,18,6,42,48,48,86,75,72,45
26,R26,59,96,2,97,48,7,56,63,52,34
27,R27,79,87,41,8,81,73,21,35,3,46
28,R28,91,56,84,51,58,5,74,57,13,66
29,R29,94,26,84,26,82,47,71,79,61,99
30,R30,71,30,99,60,70,48,93,69,1,79
31,R31,73,81,15,93,59,31,54,49,97,13
32,R32,91,26,48,39,81,56,8,75,86,79
33,R33,3,17,99,62,18,77,11,44,41,23
34,R34,96,6,57,56,49,91,15,45,14,45
35,R35,60,73,53,25,62,67,2,43,57,10
36,R36,67,18,87,71,74,2,49,35,65,50
37,R37,53,75,40,16,33,9,83,41,17,28
38,R38,14,26,46,70,24,31,65,5,9,82
39,R39,90,17,21,35,65,6,5,43,74,41
40,R40,75,84,68,10,1,75,97,86,76,22
41,R41,3,18,9,19,80,68,69,33,1,97
42,R42,80,40,35,19,68,27,47,17,22,65
43,R43,5,81,21,9,15,59,71,9,56,30
44,R44,38,53,41,78,33,83,54,35,72,70
45,R45,95,75,84,97,8,24,36,37,84,80
46,R46,8,68,45,52,20,39,93,24,58,60
47,R47,16,17,36,84,10,20,15,85,56,37
48,R48,63,17,63,30,1,86,33,54,61,72
49,R49,84,23,74,64,87,32,52,60,53,50
50,R50,65,30,8,51,1,4,40,78,42,100
51,R51,25,23,80,73,79,77,61,88,71,66
52,R52,97,27,32,19,23,1,4,73,2,84
53,R53,62,21,2,35,46,58,52,91,100,63
54,R54,7,88,42,48,19,40,4,2,12,40
55,R55,88,3,46,24,69,34,59,16,96,80
56,R56,68,17,74,40,91,92,37,93,25,11
57,R57,43,24,38,7,39,3,36,95,7,100
58,R58,25,45,52,15,31,95,16,90,88,35
59,R59,9,90,6,43,37,76,63,10,89,45
60,R60,14,90,36,47,24,9,57,32,25,98
61,R61,15,73,57,80,69,30,35,51,10,85
62,R62,16,53,46,18,37,27,13,62,78,100
63,R63,64,60,50,77,42,25,55,72,22,99
64,R64,60,39,77,19,76,30,63,66,93,45
65,R65,46,21,66,73,37,29,2,99,5,93
66,R66,50,62,12,86,49,37,64,75,10,49
67,R67,90,47,43,89,86,85,71,89,45,70
68,R68,89,32,26,35,9,95,39,70,24,42
69,R69,92,2,8,10,69,100,25,95,24,89
70,R70,95,96,51,20,13,23,35,51,41,71
71,R71,38,25,52,49,28,92,35,70,33,54
72,R72,50,13,8,82,53,28,97,47,59,72
73,R73,10,64,95,87,83,10,20,26,43,1
74,R74,55,72,11,65,42,66,24,19,91,4
75,R75,24,70,15,41,43,1,78,91,2,80
76,R76,45,61,89,74,82,24,69,79,9,36
77,R77,36,55,67,77,70,73,65,88,83,46
78,R78,38,12,21,45,19,60,33,62,99,95
79,R79,7,35,86,59,31,16,30,69,7,85
80,R80,37,53,4,93,96,17,20,9,77,92
81,R81,85,83,36,23,38,8,69,55,26,100
82,R82,91,5,99,33,15,37,54,24,85,3
83,R83,21,49,25,14,39,42,42,24,30,26
84,R84,1,79,79,17,81,17,27,81,2,19
85,R85,98,33,41,24,21,52,85,74,49,77
86,R86,74,66,94,68,51,35,34,64,48,61
87,R87,2,24,87,96,36,66,17,89,45,63
88,R88,68,19,17,21,25,64,60,98,39,43
89,R89,64,69,66,92,54,42,22,15,77,72
90,R90,91,95,83,29,79,29,64,12,88,57
91,R91,97,65,65,46,12,95,5,20,12,86
92,R92,11,1,17,59,56,56,19,88,6,91
93,R93,19,44,10,7,41,17,86,56,3,48
94,R94,21,16,97,38,81,63,78,47,85,100
95,R95,2,12,80,84,70,39,42,42,4,25
96,R96,76,37,83,25,86,83,70,8,81,15
97,R97,88,82,23,16,52,76,24,36,92,95
98,R98,46,47,65,29,81,83,84,9,96,75
99,R99,18,68,77,97,47,60,14,55,4,11
100,R100,29,5,61,27,56,31,23,68,23,35
101,R101,14,8,45,93,62,5,54,72,3,61
102,R102,94,19,20,29,86,18,15,67,32,51
103,R103,50,74,23,32,2,49,53,15,41,48
104,R104,47,19,37,19,93,8,62,40,100,71
105,R105,12,66,84,59,13,30,63,56,14,70
106,R106,35,42,37,51,8,2,78,71,28,58
107,R107,68,79,57,54,51,26,18,41,52,89
108,R108,100,36,19,85,56,51,28,94,57,65
109,R109,33,72,73,67,81,52,83,53,93,35
110,R110,91,82,58,61,36,68,100,99,8,18
111,R111,59,15,49,52,16,48,87,12,84,28
112,R112,40,6,40,96,44,13,100,4,5,14
113,R113,62,19,74,59,83,20,48,96,28,17
114,R114,84,27,25,60,64,50,89,29,31,7
115,R115,54,49,98,56,63,59,14,34,2,44
116,R116,17,90,97,48,47,40,40,37,9,33
117,R117,20,12,48,7,87,77,45,72,58,50
118,R118,65,9,87,17,18,24,77,31,73,1
119,R119,56,56,7,84,88,56,93,88,9,89
120,R120,13,48,2,49,44,9,28,23,69,12
121,R121,40,37,73,81,32,25,100,19,15,5
122,R122,91,35,8,88,59,87,71,99,92,74
123,R123,98,22,94,91,75,57,89,12,93,15
124,R124,21,11,80,32,46,55,46,71,72,14
125,R125,76,26,71,56,75,33,5,97,29,57
126,R126,44,29,2,77,35,3,2,31,62,90
127,R127,55,33,66,70,96,68,1,83,53,91
128,R128,9,80,8,72,26,54,31,76,6,76
129,R129,67,57,53,8,70,38,98,80,17,41
130,R130,62,85,33,51,20,89,74,25,55,2
131,R131,38,99,47,42,48,83,90,76,24,74
132,R132,77,97,36,33,1,99,34,56,55,46
133,R133,57,99,77,86,57,29,44,89,81,94
134,R134,57,16,81,92,82,71,11,99,47,50
135,R135,89,22,75,46,54,51,20,98,37,13
136,R136,72,82,49,55,79,61,87,94,21,66
137,R137,31,16,32,44,96,53,85,30,51,43
138,R138,16,42,75,45,80,59,16,15,2,100
139,R139,88,34,19,32,45,90,13,15,60,24
140,R140,39,94,50,9,32,40,43,83,74,21
141,R141,89,37,46,26,64,5,68,100,70,31
142,R142,27,17,72,43,41,34,9,12,45,99
143,R143,15,31,72,28,53,72,78,4,63,2
144,R144,39,91,98,97,74,84,42,41,66,61
145,R145,6,64,73,92,13,8,31,51,16,76
146,R146,88,79,21,9,76,3,69,39,73,6
147,R147,14,76,3,89,38,9,95,4,100,53
148,R148,23,85,59,87,69,39,94,17,24,31
149,R149,84,39,43,50,81,85,60,70,52,7
150,R150,54,56,7,82,54,60,72,65,79,86
151,R151,66,99,26,64,98,80,93,57,64,87
152,R152,80,55,29,62,41,70,36,89,46,72
153,R153,17,20,2,33,44,72,91,80,74,18
154,R154,45,12,71,38,45,21,13,99,78,39
155,R155,79,95,92,34,98,90,52,96,57,85
156,R156,77,2,44,22,77,57,30,12,71,72
157,R157,99,20,83,86,84,77,96,70,9,41
158,R158,26,54,37,66,22,29,26,63,5,49
159,R159,99,17,11,86,71,35,56,6,36,56
160,R160,17,67,29,63,67,81,31,49,61,16
161,R161,92,14,52,36,81,50,75,65,1,2
162,R162,52,87,43,4,80,38,17,32,22,23
163,R163,54,98,86,56,78,50,15,86,12,41
164,R164,36,24,25,21,72,80,13,14,51,47
165,R165,29,8,5,87,51,62,90,39,15,86
166,R166,71,24,77,87,5,22,73,75,56,11
167,R167,38,31,22,67,54,3,59,30,41,56
168,R168,98,21,31,63,11,40,32,93,43,39
169,R169,19,3,60,80,5,69,17,79,48,94
170,R170,1,22,68,22,88,50,46,30,7,3
171,R171,30,17,17,100,53,28,42,51,63,97
172,R172,62,93,65,46,44,42,9,87,37,30
173,R173,21,88,82,11,77,49,53,64,34,16
174,R174,12,74,17,23,32,61,67,7,21,37
175,R175,90,34,96,98,74,9,25,86,36,79
176,R176,22,15,10,99,62,65,32,79,3,89
177,R177,19,64,58,19,22,49,17,71,73,76
178,R178,76,83,55,82,66,45,66,2,71,91
179,R179,53,10,43,57,11,39,62,9,37,57
180,R180,56,90,36,94,28,74,67,100,97,73
181,R181,23,43,10,21,26,55,50,91,74,51
182,R182,37,93,62,87,25,90,48,12,52,9
183,R183,99,65,25,46,79,55,36,95,96,92
184,R184,9,31,23,70,87,72,61,80,96,27
185,R185,10,86,91,31,73,43,78,61,50,98
186,R186,31,19,92,59,86,70,51,58,10,31
187,R187,48,19,72,60,49,86,1,37,76,61
188,R188,97,38,23,43,12,82,82,40,100,82
189,R189,66,96,50,95,75,15,21,70,54,47
190,R190,62,65,27,67,77,3,97,93,13,98
191,R191,100,92,6,89,72,42,49,24,56,93
192,R192,13,65,92,96,20,91,59,16,30,69
193,R193,76,47,21,31,79,100,7,94,63,5
194,R194,91,74,68,62,35,93,33,43,12,17
195,R195,23,64,27,11,36,10,17,68,25,46
196,R196,10,72,85,32,20,15,57,48,95,93
197,R197,75,29,93,57,46,94,86,42,11,54
198,R198,98,11,66,5,52,88,15,39,62,1
199,R199,45,25,1,49,63,9,70,78,15,29
200,R200,45,61,10,86,82,23,70,42,18,54
201,R201,62,81,2,41,6,22,69,46,90,49
202,R202,31,13,79,48,58,87,54,31,1,72
203,R203,53,20,53,42,21,4,33,88,58,72
204,R204,52,51,23,88,23,30,81,100,91,78
205,R205,72,24,44,81,84,31,29,80,15,77
206,R206,12,1,14,70,76,89,39,67,46,11
207,R207,63,57,68,7,36,20,78,61,32,59
208,R208,52,19,85,2,9,62,98,53,12,63
209,R209,58,98,89,74,48,78,30,72,32,50
210,R210,89,20,35,99,6,98,4,71,45,61
211,R211,2,84,45,69,63,54,88,9,87,36
212,R212,100,18,78,88,25,18,7,94,87,76
