id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points
1,R1,12,59,10,82,81,29,26,18,70,25
2,R2,79,80,44,64,35,32,39,15,36,65
3,R3,77,99,89,33,73,93,29,9,12,75
4,R4,96,51,12,58,97,91,84,70,26,7
5,R5,42,91,66,99,63,50,42,27,31,47
6,R6,66,45,9,69,81,3,22,26,85,46
7,R7,31,15,78,96,72,59,70,46,86,75
8,R8,87,62,64,36,2,98,63,53,18,89
9,R9,23,39,42,73,57,68,59,46,63,19
10,R10,43,5,7,44,55,65,81,72,3,49
11,R11,1,10,59,43,68,11,28,34,62,39
12,R12,8,20,24,99,17,29,53,60,55,77
13,R13,77,46,96,40,23,77,74,11,70,1
14,R14,83,71,68,9,63,54,24,77,5,90
15,R15,75,88,41,6,85,99,6,32,24,10
16,R16,21,95,56,61,35,95,30,16,44,85
17,R17,28,24,47,68,91,72,41,63,73,69
18,R18,93,36,72,48,49,9,1,91,55,88
19,R19,78,42,3,13,27,44,5,68,34,62
20,R20,21,15,24,34,75,70,95,75,31,10
21,R21,67,74,65,86,32,98,55,60,10,38
22,R22,20,92,1,77,75,84,44,39,79,20
23,R23,41,56,85,77,65,98,42,92,12,49
24,R24,5,19,19,2,29,26,11,76,50,63
25,R25,76,53,91,92,26,48,9,72,29,18
26,R26,21,66,52,66,93,94,30,91,47,17
27,R27,52,99,22,93,98,75,62,91,92,67
28,R28,45,19,45,60,3,54,88,64,88,21
29,R29,97,92,63,83,4,33,18,42,48,28
30,R30,19,9,76,66,27,87,67,39,84,66
31,R31,90,85,87,97,4,96,7,1,92,21
32,R32,41,89,29,16,19,90,29,54,23,67
33,R33,81,29,25,15,11,61,72,29,60,81
34,R34,40,73,19,44,11,50,66,8,31,30
35,R35,43,34,9,16,89,51,57,52,60,54
36,R36,39,95,35,58,88,23,19,14,21,85
37,R37,36,73,9,97,70,10,57,51,79,86
38,R38,11,47,64,83,40,20,82,70,28,29
39,R39,19,50,48,85,85,24,79,72,63,28
40,R40,55,54,58,90,47,98,13,89,49,94
41,R41,60,15,73,79,25,34,93,91,69,68
42,R42,10,79,41,78,17,34,87,8,8,73
43,R43,18,78,100,88,59,2,56,41,15,44
44,R44,96,48,42,19,90,49,94,62,63,65
45,R45,27,63,82,78,88,9,52,100,40,79
46,R46,28,60,84,23,22,2,90,20,96,26
47,R47,61,4,100,26,97,91,31,78,96,52
48,R48,99,68,25,94,96,67,81,79,44,82
49,R49,16,48,10,15,2,89,97,53,94,36
50,R50,64,42,10,83,26,24,65,79,48,8
51,R51,85,18,31,46,17,2,60,70,78,52
52,R52,63,1,47,67,51,87,92,91,2,50
53,R53,48,58,79,38,85,86,11,91,31,89
54,R54,70,24,57,66,24,59,41,41,11,92
55,R55,100,99,72,13,28,24,7,10,78,78
56,R56,34,6,56,59,84,36,50,90,92,83
57,R57,46,9,100,78,30,92,38,76,59,89
58,R58,62,26,38,45,98,99,61,79,88,61
59,R59,87,13,35,80,31,40,28,36,68,23
60,R60,53,73,45,34,38,65,62,44,37,1
61,R61,49,21,47,9,28,94,11,80,94,56
62,R62,42,3,90,13,37,82,5,94,81,78
63,R63,43,100,64,44,88,46,58,75,28,51
64,R64,89,68,97,77,12,87,81,14,77,13
65,R65,82,98,47,36,36,16,22,40,92,25
66,R66,100,92,79,40,9,81,64,76,50,70
67,R67,39,24,45,44,4,75,10,39,82,98
68,R68,74,23,29,62,24,20,31,47,19,66
69,R69,2,27,100,1,83,84,85,9,20,27
70,R70,26,8,25,75,58,17,36,46,71,15
71,R71,66,54,67,86,5,88,98,64,46,32
72,R72,21,14,20,71,79,37,80,81,35,81
73,R73,39,73,94,28,5,23,93,50,13,88
74,R74,5,77,57,97,60,43,85,25,22,2
75,R75,11,21,93,66,74,58,90,22,2,18
76,R76,96,87,69,3,97,49,3,36,50,53
77,R77,43,12,76,56,82,5,86,65,74,27
78,R78,56,30,38,89,43,33,43,6,95,100
79,R79,64,15,10,96,48,32,33,6,48,18
80,R80,67,53,33,70,71,97,51,94,13,62
81,R81,37,100,15,20,46,64,98,3,6,27
82,R82,88,72,63,15,45,53,9,9,33,79
83,R83,60,74,31,49,85,27,92,31,52,63
84,R84,16,9,79,76,10,50,13,97,66,74
85,R85,5,17,79,2,99,55,92,21,52,94
86,R86,78,83,87,27,42,36,52,86,70,92
87,R87,68,66,4,11,15,20,20,6,15,39
88,R88,25,85,92,57,7,37,8,62,8,86
89,R89,24,5,6,26,89,5,1,68,91,11
90,R90,70,44,10,96,39,25,18,83,87,14
91,R91,13,40,84,23,41,15,80,3,98,32
92,R92,9,4,33,72,43,91,35,7,50,82
93,R93,41,38,65,62,45,56,29,12,63,12
94,R94,22,53,57,43,78,100,2,19,43,4
95,R95,58,88,24,42,18,44,20,57,63,74
96,R96,25,28,20,89,24,24,15,20,42,63
97,R97,24,95,23,41,60,89,92,43,48,21
98,R98,53,21,51,27,29,98,5,71,24,14
99,R99,19,4,99,38,27,73,28,63,14,33
100,R100,39,29,3,38,37,39,16,60,78,30
101,R101,18,74,62,61,89,21,72,87,50,9
102,R102,12,70,65,54,22,46,9,15,23,41
103,R103,3,9,38,83,23,11,33,76,99,29
104,R104,74,92,42,62,68,61,44,70,67,11
105,R105,35,70,82,85,82,81,46,80,59,30
106,R106,58,51,100,91,51,9,8,9,89,23
107,R107,58,15,34,87,83,38,84,51,18,21
108,R108,52,79,53,84,14,35,92,68,1,90
109,R109,15,32,4,46,56,8,48,21,86,94
110,R110,34,97,86,68,85,62,20,5,26,54
111,R111,21,63,90,77,43,31,69,25,26,7
112,R112,49,100,66,6,70,78,67,34,87,3
113,R113,11,8,15,38,44,18,36,87,52,70
114,R114,100,35,8,2,60,50,7,69,58,78
115,R115,22,74,44,29,60,90,49,71,89,64
116,R116,72,11,73,43,97,19,58,24,10,69
117,R117,13,77,8,36,70,44,71,77,29,43
118,R118,49,20,60,30,72,13,44,86,9,51
119,R119,46,9,70,18,74,34,51,31,28,13
120,R120,24,63,59,10,16,53,99,23,99,97
121,R121,22,57,96,94,77,75,8,7,37,80
122,R122,65,1,40,47,59,83,4,61,52,93
123,R123,17,100,44,39,25,6,90,24,95,75
124,R124,48,96,94,32,63,94,42,8,91,70
125,R125,10,74,92,98,11,80,100,23,33,90
126,R126,85,23,53,22,64,59,21,15,55,66
127,R127,44,53,80,34,3,22,68,30,70,13
128,R128,25,98,42,20,6,8,51,59,33,15
129,R129,78,4,20,15,9,14,93,70,56,42
130,R130,42,81,94,64,84,40,54,70,75,97
131,R131,17,29,20,33,100,54,91,7,97,78
132,R132,48,75,80,62,79,62,1,14,61,60
133,R133,77,11,93,13,76,79,83,22,31,97
134,R134,94,90,41,21,31,23,81,6,50,68
135,R135,88,99,64,61,50,4,64,23,19,96
136,R136,28,100,5,29,17,23,74,8,82,18
137,R137,56,85,89,76,51,77,61,32,14,61
138,R138,31,53,90,15,38,49,79,33,3,86
139,R139,92,5,42,68,47,20,23,50,52,53
140,R140,21,54,63,15,57,30,32,26,19,58
141,R141,9,36,74,55,77,74,92,76,21,38
142,R142,51,86,51,100,71,35,75,92,21,23
143,R143,68,37,22,58,77,84,38,4,66,1
144,R144,67,58,50,58,43,72,13,91,74,77
145,R145,35,45,42,10,92,31,29,77,93,18
146,R146,39,49,63,69,56,69,84,91,53,13
147,R147,55,34,49,15,2,87,4,27,84,3
148,R148,58,92,87,63,61,79,94,55,14,91
149,R149,53,95,47,49,83,55,27,54,100,89
150,R150,45,52,61,63,22,27,67,82,93,65
151,R151,63,19,83,91,57,34,98,34,79,62
152,R152,31,12,9,41,15,60,95,77,53,21
153,R153,48,76,18,40,61,90,77,90,75,96
154,R154,11,13,12,74,60,97,100,98,21,91
155,R155,67,21,20,22,17,49,85,45,51,15
156,R156,65,84,22,98,37,19,14,98,62,49
157,R157,83,56,89,30,42,11,60,2,64,9
158,R158,94,3,76,98,25,77,15,24,94,88
159,R159,92,40,45,87,90,21,60,25,84,8
160,R160,62,35,31,2,93,23,27,73,83,39
161,R161,20,52,33,40,4,87,42,19,90,22
162,R162,50,63,78,57,65,23,46,56,2,72
163,R163,70,13,10,36,59,8,1,97,14,23
164,R164,89,53,70,99,66,42,55,55,10,90
165,R165,2,87,46,38,58,39,6,23,72,21
166,R166,90,1,60,47,28,53,5,21,58,39
167,R167,37,9,8,29,54,56,73,54,12,61
168,R168,67,87,23,26,20,43,7,32,58,7
169,R169,70,66,46,99,94,31,12,74,94,4
170,R170,29,25,41,88,33,48,91,70,79,19
171,R171,70,83,45,66,23,19,96,90,15,15
172,R172,34,45,94,33,35,53,46,55,75,80
173,R173,1,93,4,20,36,85,97,32,76,67
174,R174,95,69,30,67,94,13,91,60,60,55
175,R175,88,78,1,14,98,22,79,41,5,89
176,R176,62,41,66,48,6,48,19,42,21,3
177,R177,10,61,75,92,46,63,96,45,74,48
178,R178,77,15,3,39,96,32,1,100,97,79
179,R179,18,81,62,64,98,79,12,60,70,84
180,R180,62,90,83,71,64,45,97,91,71,30
181,R181,92,19,32,62,3,63,6,6,84,29
182,R182,90,35,37,1,9,13,73,13,54,54
183,R183,75,92,39,21,25,99,100,11,28,73
184,R184,6,42,19,77,24,38,58,26,22,55
185,R185,4,87,64,95,72,30,48,16,48,94
186,R186,17,45,39,44,8,13,47,1,82,3
187,R187,89,59,50,76,14,23,32,41,47,5
188,R188,81,5,45,43,35,89,71,31,58,61
189,R189,87,51,70,81,75,5,36,49,49,70
190,R190,6,39,97,54,15,67,49,47,2,96
191,R191,43,3,1,42,71,55,51,92,44,23
192,R192,24,68,99,9,68,4,18,91,54,60
193,R193,26,95,69,25,2,23,80,78,36,81
194,R194,26,47,64,62,53,94,48,46,72,49
195,R195,92,46,8,40,59,22,40,64,82,16
196,R196,100,80,37,68,48,87,57,16,31,26
