id,label,Elevation,Aspect,Slope
1,R1,52,45,34
2,R2,67,49,97
3,R3,38,46,35
4,R4,18,91,73
5,R5,37,97,96
6,R6,33,49,9
7,R7,40,15,39
8,R8,46,26,16
9,R9,50,62,45
10,R10,28,61,68
11,R11,72,67,34
12,R12,52,10,23
13,R13,31,38,97
14,R14,89,10,84
15,R15,27,34,17
16,R16,16,17,3
17,R17,75,78,13
18,R18,79,66,6
19,R19,77,4,98
20,R20,79,73,17
21,R21,31,94,63
22,R22,47,59,28
23,R23,30,21,60
24,R24,50,62,46
25,R25,28,97,28
26,R26,97,8,6
27,R27,1,5,24
28,R28,12,46,70
29,R29,29,48,41
30,R30,35,15,31
31,R31,12,64,28
32,R32,4,36,17
33,R33,90,81,85
34,R34,88,2,29
35,R35,8,20,73
36,R36,100,43,84
37,R37,95,64,8
38,R38,47,4,81
39,R39,33,18,77
40,R40,2,30,85
41,R41,18,58,35
42,R42,3,66,52
43,R43,32,43,60
44,R44,16,23,22
45,R45,62,8,54
46,R46,90,75,95
47,R47,41,97,42
48,R48,96,80,17
49,R49,86,38,88
50,R50,60,46,8
51,R51,100,31,12
52,R52,46,5,52
53,R53,8,54,31
54,R54,95,88,75
55,R55,43,42,12
56,R56,17,64,15
57,R57,38,98,66
58,R58,51,100,16
59,R59,74,49,30
60,R60,49,12,73
61,R61,100,99,32
62,R62,33,4,85
63,R63,45,51,83
64,R64,8,29,64
65,R65,20,82,53
66,R66,38,35,58
67,R67,1,22,57
68,R68,30,45,73
69,R69,98,28,92
70,R70,87,69,1
71,R71,82,93,64
72,R72,14,84,97
73,R73,47,43,26
74,R74,9,48,16
75,R75,35,33,33
76,R76,93,41,98
77,R77,14,56,26
78,R78,13,28,68
79,R79,68,41,26
80,R80,65,26,3
81,R81,53,3,1
82,R82,95,93,87
83,R83,60,36,88
84,R84,51,82,36
85,R85,74,27,21
86,R86,20,96,78
87,R87,74,17,90
88,R88,73,86,75
89,R89,2,9,91
90,R90,83,74,11
91,R91,1,11,48
92,R92,39,88,66
93,R93,8,89,47
94,R94,39,36,39
95,R95,96,88,37
96,R96,59,86,12
97,R97,92,70,100
98,R98,40,62,49
99,R99,33,30,89
100,R100,27,66,22
101,R101,97,51,9
102,R102,39,74,13
103,R103,75,40,32
104,R104,63,24,85
105,R105,85,40,41
106,R106,80,12,44
107,R107,95,65,25
108,R108,89,78,21
109,R109,79,58,83
110,R110,93,10,75
111,R111,34,60,2
112,R112,60,53,36
113,R113,88,70,12
114,R114,98,44,13
115,R115,71,26,30
116,R116,57,95,81
117,R117,96,25,5
118,R118,67,21,97
119,R119,17,40,20
120,R120,17,62,33
121,R121,45,28,29
122,R122,59,32,79
123,R123,5,95,32
124,R124,36,90,95
125,R125,28,8,91
126,R126,11,26,12
127,R127,39,72,94
128,R128,42,71,99
129,R129,63,61,90
130,R130,70,19,22
131,R131,29,37,55
132,R132,38,59,27
133,R133,8,95,54
134,R134,16,33,14
135,R135,74,59,87
136,R136,14,32,16
137,R137,37,41,8
138,R138,17,2,19
139,R139,75,53,44
140,R140,9,81,78
141,R141,35,18,48
