id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am
1,R1,97,47,14,39,59,32,53
2,R2,58,5,83,8,54,38,39
3,R3,28,13,26,100,80,37,15
4,R4,1,96,61,94,100,14,32
5,R5,60,78,87,91,33,72,31
6,R6,85,12,94,29,13,95,70
7,R7,30,58,87,51,57,45,77
8,R8,42,3,10,43,36,54,95
9,R9,11,27,3,66,74,90,20
10,R10,96,42,100,12,54,55,4
11,R11,11,20,20,49,89,88,94
12,R12,44,28,78,88,24,54,40
13,R13,38,68,27,71,84,30,91
14,R14,55,87,80,56,11,72,14
15,R15,62,33,5,72,37,70,17
16,R16,69,62,1,74,71,96,80
17,R17,12,66,88,29,75,93,31
18,R18,80,65,60,63,62,15,4
19,R19,93,34,30,2,82,24,5
20,R20,72,7,86,19,49,51,24
21,R21,100,2,70,90,59,59,31
22,R22,56,23,88,45,84,38,41
23,R23,54,80,10,69,44,97,5
24,R24,67,64,21,71,59,24,10
25,R25,82,15,51,60,95,44,62
26,R26,82,74,48,79,38,12,55
27,R27,32,37,37,40,73,42,19
28,R28,38,58,76,33,72,73,52
29,R29,40,55,9,93,64,92,82
30,R30,62,75,37,83,84,61,95
31,R31,54,29,68,85,15,68,58
32,R32,29,42,89,26,35,9,94
33,R33,77,83,98,7,50,6,5
34,R34,98,62,38,43,51,42,33
35,R35,98,83,4,45,18,98,32
36,R36,9,31,47,63,11,7,95
37,R37,100,31,41,90,85,90,47
38,R38,10,65,6,7,40,2,34
39,R39,61,45,30,61,54,40,90
40,R40,24,59,88,69,85,33,86
41,R41,68,35,60,70,2,59,70
42,R42,30,75,64,19,2,79,28
43,R43,75,40,30,84,47,43,86
44,R44,48,15,11,47,78,65,18
45,R45,48,29,95,38,71,13,73
46,R46,46,33,12,36,20,59,97
47,R47,26,94,29,42,84,13,33
48,R48,36,68,5,22,31,28,61
49,R49,11,40,79,59,64,64,7
50,R50,17,82,38,79,76,79,17
51,R51,5,95,83,25,41,75,66
52,R52,69,87,79,90,57,52,76
53,R53,38,100,50,55,53,18,73
54,R54,87,42,90,25,89,96,43
55,R55,93,44,41,59,52,45,29
56,R56,11,22,32,2,88,76,37
57,R57,16,95,31,77,73,57,7
58,R58,24,3,60,96,5,91,93
59,R59,43,35,84,96,17,7,37
60,R60,18,1,25,72,49,64,85
61,R61,71,60,14,17,39,61,42
62,R62,75,23,86,46,68,37,34
63,R63,19,100,60,74,21,93,59
64,R64,43,84,94,62,22,24,71
65,R65,65,72,79,15,49,77,81
66,R66,33,30,75,68,6,26,29
67,R67,3,49,46,71,94,52,88
68,R68,86,65,39,1,63,14,60
69,R69,35,8,51,88,24,4,40
70,R70,85,31,90,60,14,10,71
71,R71,73,19,33,94,25,31,96
72,R72,82,2,81,72,61,27,21
73,R73,17,51,29,63,4,32,34
74,R74,98,17,33,33,5,34,44
75,R75,47,26,87,82,60,23,7
76,R76,1,24,29,30,20,50,35
77,R77,16,48,80,89,35,64,42
78,R78,11,82,78,83,44,46,45
79,R79,6,4,23,96,84,58,11
80,R80,58,14,60,90,39,37,96
81,R81,79,27,70,89,41,79,36
82,R82,32,94,24,80,79,57,8
83,R83,78,30,10,62,43,53,12
84,R84,22,78,30,52,93,31,43
85,R85,59,51,44,87,55,38,64
86,R86,69,45,47,19,5,59,26
87,R87,81,95,10,93,78,26,45
88,R88,66,16,10,77,29,27,5
89,R89,29,67,41,89,47,91,16
90,R90,62,59,63,23,61,62,95
91,R91,86,70,28,42,3,99,81
92,R92,37,24,73,90,2,61,49
93,R93,88,38,74,60,40,16,91
94,R94,66,32,74,64,20,20,48
95,R95,11,78,76,57,84,79,55
96,R96,18,88,72,29,84,63,52
97,R97,91,44,59,10,12,3,71
98,R98,78,29,11,88,56,75,59
99,R99,33,61,10,82,68,97,13
100,R100,60,30,93,95,68,65,40
101,R101,73,68,37,42,84,13,7
102,R102,31,9,60,48,94,18,83
103,R103,73,22,34,52,38,45,25
104,R104,87,39,50,37,9,86,39
105,R105,67,63,77,19,86,7,97
106,R106,56,71,55,40,67,82,21
107,R107,42,71,92,6,68,82,93
108,R108,21,27,82,48,48,2,43
109,R109,4,95,74,35,87,74,57
110,R110,9,98,33,4,22,95,4
111,R111,78,47,67,9,96,100,52
112,R112,9,27,40,51,28,4,76
113,R113,34,1,16,92,61,3,2
114,R114,12,33,22,95,42,96,14
115,R115,95,41,45,43,47,34,28
116,R116,11,48,76,85,63,57,58
117,R117,44,26,60,43,74,44,94
118,R118,60,75,87,35,54,37,51
119,R119,55,94,81,62,33,39,22
120,R120,90,96,23,76,42,91,64
121,R121,64,96,91,28,42,78,91
122,R122,44,94,65,75,6,3,30
123,R123,27,27,29,1,31,21,74
124,R124,57,17,64,65,69,24,18
125,R125,82,98,93,86,14,68,45
126,R126,60,47,32,69,71,35,66
127,R127,2,66,2,97,84,99,63
128,R128,52,10,13,55,78,83,52
129,R129,72,88,49,35,54,24,50
130,R130,66,61,67,76,48,78,55
131,R131,31,26,83,60,91,8,57
132,R132,10,92,8,32,27,100,56
133,R133,37,31,47,6,82,37,96
134,R134,81,23,23,47,33,32,25
135,R135,1,14,71,84,6,18,45
136,R136,57,13,12,96,19,50,95
137,R137,71,34,57,74,45,32,86
138,R138,63,16,87,11,66,62,68
139,R139,1,85,38,15,96,89,9
140,R140,11,64,80,60,80,51,55
141,R141,77,67,4,9,3,83,100
142,R142,24,52,25,55,31,18,82
143,R143,86,42,25,49,65,6,57
144,R144,18,59,46,11,5,76,85
145,R145,12,5,67,72,24,9,11
146,R146,44,8,47,40,55,81,78
147,R147,24,42,46,71,28,14,69
148,R148,67,24,73,86,94,73,7
149,R149,100,28,61,22,81,83,25
150,R150,90,41,16,35,91,83,63
151,R151,69,46,21,53,98,6,50
152,R152,26,25,39,24,48,52,40
153,R153,88,6,54,90,18,71,22
154,R154,25,45,33,10,8,39,74
155,R155,28,75,99,88,8,5,89
156,R156,8,98,33,69,16,19,24
157,R157,14,36,100,9,69,26,20
158,R158,59,83,14,79,64,87,87
159,R159,69,34,91,46,57,23,63
160,R160,73,32,21,32,12,63,41
161,R161,70,90,73,14,21,41,31
162,R162,10,68,58,86,59,3,100
163,R163,65,3,49,99,34,46,62
164,R164,72,98,97,58,20,4,72
165,R165,36,6,26,7,38,36,88
166,R166,30,48,1,82,66,92,6
167,R167,56,33,47,64,92,40,92
168,R168,52,12,96,47,12,35,34
169,R169,39,76,68,60,54,54,65
170,R170,3,30,47,28,80,19,43
171,R171,46,98,24,66,27,98,45
172,R172,65,10,65,22,38,93,62
173,R173,90,77,32,17,1,66,79
174,R174,10,81,9,78,38,12,83
175,R175,86,49,90,42,68,12,87
176,R176,58,24,24,26,57,39,50
177,R177,37,51,91,21,11,50,83
178,R178,23,76,82,69,49,67,71
179,R179,8,80,83,96,78,74,15
