id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology
1,R1,97,4,50,66,100
2,R2,6,35,67,75,66
3,R3,26,41,56,86,89
4,R4,24,41,83,19,81
5,R5,84,21,77,1,45
6,R6,82,55,6,31,56
7,R7,50,82,86,41,93
8,R8,94,50,46,90,96
9,R9,12,4,21,62,56
10,R10,53,30,31,21,14
11,R11,57,84,12,75,43
12,R12,19,41,19,33,57
13,R13,74,67,48,87,44
14,R14,79,78,42,86,62
15,R15,82,2,28,34,47
16,R16,64,40,74,20,20
17,R17,88,45,96,90,21
18,R18,16,3,35,38,20
19,R19,93,83,32,50,54
20,R20,28,91,72,73,85
21,R21,85,31,78,23,81
22,R22,16,99,65,47,35
23,R23,19,21,65,78,87
24,R24,82,60,74,72,14
25,R25,17,13,5,65,49
26,R26,77,11,54,6,8
27,R27,8,49,91,55,47
28,R28,42,43,14,67,99
29,R29,9,14,78,33,47
30,R30,28,37,96,41,39
31,R31,60,80,99,78,30
32,R32,83,86,53,52,100
33,R33,8,35,55,87,81
34,R34,55,25,18,22,50
35,R35,48,53,21,36,40
36,R36,16,76,100,68,48
37,R37,38,61,62,27,73
38,R38,73,58,73,66,18
39,R39,84,22,66,69,37
40,R40,74,16,78,2,43
41,R41,58,57,53,80,10
42,R42,56,66,78,52,73
43,R43,82,93,15,51,79
44,R44,9,73,15,63,50
45,R45,87,59,23,41,30
46,R46,83,23,22,41,87
47,R47,82,84,72,16,20
48,R48,24,84,16,99,46
49,R49,58,69,69,36,19
50,R50,66,22,37,74,37
51,R51,64,71,35,97,4
52,R52,73,2,25,78,32
53,R53,80,11,24,62,73
54,R54,38,94,92,64,97
55,R55,51,21,3,16,94
56,R56,46,60,94,60,27
57,R57,100,58,68,90,62
58,R58,29,6,67,21,57
59,R59,58,1,58,66,61
60,R60,14,8,32,11,85
61,R61,99,58,51,38,9
62,R62,19,39,40,27,28
63,R63,44,43,18,77,63
64,R64,65,62,64,65,46
65,R65,60,58,16,59,29
66,R66,21,16,76,33,81
67,R67,9,15,54,5,77
68,R68,63,35,13,39,26
69,R69,2,29,80,64,49
70,R70,13,15,45,34,86
71,R71,44,58,62,36,98
72,R72,13,19,11,77,60
73,R73,82,53,3,20,68
74,R74,66,28,29,42,42
75,R75,100,14,82,99,73
76,R76,60,96,54,3,100
77,R77,98,94,72,74,88
78,R78,9,59,1,57,8
79,R79,15,62,67,78,82
80,R80,67,60,11,27,69
81,R81,86,32,54,2,17
82,R82,19,13,37,99,75
83,R83,67,84,44,43,21
84,R84,97,34,84,91,99
85,R85,32,20,51,15,26
86,R86,76,83,90,16,84
87,R87,91,52,76,99,56
88,R88,89,36,50,84,70
89,R89,78,35,47,73,59
90,R90,46,63,98,7,26
91,R91,12,32,94,82,43
92,R92,38,17,70,71,56
93,R93,79,81,19,94,26
94,R94,89,100,66,68,45
95,R95,96,14,99,79,80
96,R96,39,25,45,53,17
97,R97,65,66,30,87,56
98,R98,72,56,33,41,59
99,R99,27,40,64,80,6
100,R100,13,26,62,41,8
101,R101,65,26,22,8,5
102,R102,23,26,7,73,57
103,R103,81,9,97,93,32
104,R104,80,72,65,66,96
105,R105,33,81,79,56,13
106,R106,52,22,69,99,99
107,R107,34,52,93,22,37
108,R108,58,53,35,12,79
109,R109,29,17,100,22,28
110,R110,42,54,83,2,6
111,R111,97,61,29,80,41
112,R112,76,56,43,62,85
113,R113,34,34,4,1,97
114,R114,76,38,97,17,32
115,R115,64,10,28,63,12
116,R116,18,38,32,35,20
117,R117,37,23,20,74,79
118,R118,18,53,42,16,69
119,R119,63,9,69,20,27
120,R120,40,6,57,3,90
121,R121,94,33,17,20,80
122,R122,25,40,94,62,8
123,R123,95,34,64,99,46
124,R124,35,67,8,42,4
125,R125,91,68,57,9,80
126,R126,73,12,70,41,37
127,R127,75,76,82,22,43
128,R128,10,44,56,85,63
129,R129,84,29,12,21,26
130,R130,43,99,86,12,10
131,R131,80,37,24,55,95
132,R132,44,28,11,77,95
133,R133,8,19,7,65,17
134,R134,93,44,31,10,36
135,R135,81,23,98,50,49
136,R136,41,92,55,54,51
137,R137,20,43,24,14,24
138,R138,61,51,50,60,5
