id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am
1,R1,55,5,27,45,80,55,45
2,R2,64,10,16,92,90,61,23
3,R3,64,99,86,51,10,23,52
4,R4,47,7,37,7,40,23,85
5,R5,61,38,27,4,63,25,56
6,R6,66,88,53,94,38,63,13
7,R7,2,100,7,85,93,88,35
8,R8,36,46,32,72,28,35,92
9,R9,4,2,19,10,97,52,87
10,R10,57,95,13,60,82,2,50
11,R11,13,22,14,6,97,11,15
12,R12,22,83,73,18,33,84,92
13,R13,56,19,71,28,10,35,28
14,R14,6,61,85,39,80,80,35
15,R15,19,79,49,17,26,23,30
16,R16,54,83,46,4,52,26,8
17,R17,64,17,64,16,73,32,94
18,R18,54,88,30,69,95,88,13
19,R19,22,81,16,71,24,12,98
20,R20,2,43,62,10,29,9,9
21,R21,60,48,27,9,67,5,26
22,R22,41,31,58,38,25,28,95
23,R23,42,96,44,25,52,80,13
24,R24,91,71,10,55,83,84,6
25,R25,39,77,35,67,78,40,50
26,R26,47,93,52,3,15,2,35
27,R27,79,41,24,60,62,4,83
28,R28,61,43,17,21,49,14,83
29,R29,65,33,54,56,21,55,9
30,R30,57,77,95,52,54,54,74
31,R31,40,64,80,67,98,72,27
32,R32,51,65,34,78,20,54,83
33,R33,23,95,35,75,89,32,30
34,R34,93,60,13,29,96,5,8
35,R35,10,45,95,12,7,73,82
36,R36,49,7,50,62,8,8,12
37,R37,93,23,7,89,44,55,48
38,R38,37,89,34,71,25,74,69
39,R39,40,88,7,32,75,61,77
40,R40,34,98,68,19,12,43,87
41,R41,46,12,54,72,23,95,87
42,R42,20,99,63,94,12,60,50
43,R43,94,82,66,36,96,27,52
44,R44,65,84,88,69,43,65,81
45,R45,31,74,8,59,98,95,1
46,R46,57,71,51,95,73,20,32
47,R47,50,87,81,82,75,79,40
48,R48,57,26,10,78,72,100,41
49,R49,2,51,29,23,79,55,90
50,R50,32,12,39,96,10,97,72
51,R51,66,2,20,81,40,94,81
52,R52,5,61,12,77,44,87,85
53,R53,80,45,57,6,89,24,20
54,R54,20,20,57,80,21,49,19
55,R55,73,13,11,72,80,100,54
56,R56,92,27,16,51,18,80,91
57,R57,46,36,8,55,58,43,98
58,R58,86,38,15,99,93,75,94
59,R59,80,94,57,48,51,14,49
60,R60,41,73,94,80,53,11,73
61,R61,24,87,27,82,99,92,54
62,R62,97,62,44,3,16,79,91
63,R63,92,29,64,9,96,61,56
64,R64,70,32,71,85,84,45,52
65,R65,19,35,54,54,34,68,4
66,R66,94,9,9,29,4,89,68
67,R67,42,34,7,98,49,35,86
68,R68,6,6,47,30,92,74,30
69,R69,82,7,33,26,37,68,45
70,R70,20,83,18,4,33,70,72
71,R71,80,80,10,42,23,90,30
72,R72,32,23,91,15,88,42,97
73,R73,92,16,79,99,13,85,64
74,R74,10,26,13,13,36,43,1
75,R75,40,1,94,9,82,12,92
76,R76,37,39,39,50,67,5,26
77,R77,8,67,23,91,53,44,55
78,R78,37,21,65,57,90,42,25
79,R79,1,52,53,58,60,11,5
