id,label,Elevation,Aspect,Slope
1,R1,2079,124,27
2,R2,2766,140,30
3,R3,2570,9,5
4,R4,3277,296,7
5,R5,3196,298,9
6,R6,2724,28,14
7,R7,2945,238,14
8,R8,3034,61,12
9,R9,3251,250,13
10,R10,2895,97,17
11,R11,3294,57,5
12,R12,3091,207,10
13,R13,2976,91,19
14,R14,2621,108,7
15,R15,3298,0,3
16,R16,2242,292,34
17,R17,3232,194,22
18,R18,3001,74,14
19,R19,3015,133,8
20,R20,3079,127,15
21,R21,3113,321,9
22,R22,3234,225,19
23,R23,2953,61,2
24,R24,2442,250,18
25,R25,2403,88,21
26,R26,3034,83,6
27,R27,3018,153,11
28,R28,2662,217,20
29,R29,3227,108,30
30,R30,3009,37,14
31,R31,2939,77,8
32,R32,2745,28,11
33,R33,3121,45,8
34,R34,2825,132,12
35,R35,3186,222,12
36,R36,2942,135,20
37,R37,2896,1,20
38,R38,3293,90,10
39,R39,2721,146,14
40,R40,3010,308,13
41,R41,3274,44,26
42,R42,2532,28,8
43,R43,3058,96,6
44,R44,2922,135,12
45,R45,2993,20,20
46,R46,3293,110,18
47,R47,3175,28,10
48,R48,2868,292,24
49,R49,2972,288,5
50,R50,2704,81,22
51,R51,2807,135,12
52,R52,2968,45,6
53,R53,3082,37,16
54,R54,3129,331,13
55,R55,3316,210,13
56,R56,2642,143,17
57,R57,3153,27,13
58,R58,3230,20,12
59,R59,2705,148,9
60,R60,3044,59,13
61,R61,2693,41,11
62,R62,2885,103,21
63,R63,3341,332,20
64,R64,2524,80,29
65,R65,2823,132,12
66,R66,2373,329,28
67,R67,2862,101,10
68,R68,3116,13,8
69,R69,3257,203,2
70,R70,3083,241,12
71,R71,2977,344,8
72,R72,2709,338,15
73,R73,2779,175,8
74,R74,2992,118,10
75,R75,2792,214,2
76,R76,2607,345,25
77,R77,3166,74,7
78,R78,2807,96,10
79,R79,3002,19,10
80,R80,3031,211,13
81,R81,2959,154,10
82,R82,2932,135,16
83,R83,3361,253,11
84,R84,2913,323,16
85,R85,2775,356,29
86,R86,2817,323,16
87,R87,3153,323,22
88,R88,2945,212,9
89,R89,3229,19,18
90,R90,3149,247,15
91,R91,3146,359,26
92,R92,3037,342,7
93,R93,2932,127,16
94,R94,2945,199,10
95,R95,2456,218,34
96,R96,2643,116,15
97,R97,2893,329,1
98,R98,3213,96,2
99,R99,2845,202,8
100,R100,3278,58,19
101,R101,2716,45,3
102,R102,3266,175,11
103,R103,3071,253,13
104,R104,3545,335,22
105,R105,2900,44,17
106,R106,2722,220,33
107,R107,2732,189,16
108,R108,2998,0,9
109,R109,3204,281,23
110,R110,3188,8,5
111,R111,2960,117,20
112,R112,2955,135,7
113,R113,2500,42,13
114,R114,2971,310,16
115,R115,2506,115,15
116,R116,2425,329,18
117,R117,2601,189,19
118,R118,3175,336,12
119,R119,3100,157,10
120,R120,2810,119,23
121,R121,3167,294,16
122,R122,2836,281,4
123,R123,2724,179,21
124,R124,3034,28,9
125,R125,2321,20,26
126,R126,2787,2,6
127,R127,2681,139,5
128,R128,3322,291,16
129,R129,2909,170,22
130,R130,3160,191,20
131,R131,2687,34,18
132,R132,3034,263,11
133,R133,2878,34,11
134,R134,2977,97,27
135,R135,3314,150,13
136,R136,3112,185,11
137,R137,3074,132,7
138,R138,2230,332,43
139,R139,2963,114,20
140,R140,3381,191,16
141,R141,3235,146,7
142,R142,3044,103,8
143,R143,2861,315,12
144,R144,3349,218,26
